nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
1,1,MPIAdvance-CXI-Double-Buffering,0.310262,6.19357,tioga,16384,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering,0.277186,6.36466,tioga,16384,coarse,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,0.00987856,5.85178,tioga,16384,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering,0.280913,3.00956,tioga,16384,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering,0.282275,3.02001,tioga,16384,coarse,Standard,1000
1,2,Cray-MPICH-CXI-GPU-Enabled,0.00945338,3.09308,tioga,16384,coarse,Standard,1000
1,4,MPIAdvance-CXI-Double-Buffering,0.284928,1.58998,tioga,16384,coarse,Ready Send,1000
1,4,MPIAdvance-CXI-Single-Buffering,0.28498,1.60571,tioga,16384,coarse,Standard,1000
1,4,Cray-MPICH-CXI-GPU-Enabled,0.00919596,1.61889,tioga,16384,coarse,Standard,1000
1,8,MPIAdvance-CXI-Double-Buffering,0.298138,0.862873,tioga,16384,coarse,Ready Send,1000
1,8,MPIAdvance-CXI-Single-Buffering,0.297131,0.876921,tioga,16384,coarse,Standard,1000
1,8,Cray-MPICH-CXI-GPU-Enabled,0.00916915,0.885999,tioga,16384,coarse,Standard,1000
1,1,MPIAdvance-CXI-Double-Buffering,0.280991,80.0669,tioga,61440,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering,0.970098,80.3867,tioga,61440,coarse,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,0.695134,79.6362,tioga,61440,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering,0.294328,40.3368,tioga,61440,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering,0.284,40.4995,tioga,61440,coarse,Standard,1000
1,2,Cray-MPICH-CXI-GPU-Enabled,0.0130956,40.2476,tioga,61440,coarse,Standard,1000
