nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
1,1,MPIAdvance-CXI-Double-Buffering2,0.541742,2.96869,tuolumne,16384,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering2,0.412552,2.96775,tuolumne,16384,coarse,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,0.268679,3.18241,tuolumne,16384,coarse,Standard,1000
1,1,MPIAdvance-CXI-Double-Buffering2,2.63651,41.7059,tuolumne,61440,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering2,2.50987,41.6621,tuolumne,61440,coarse,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,2.46012,41.7981,tuolumne,61440,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering2,0.426987,1.51926,tuolumne,16384,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering2,0.360848,1.52189,tuolumne,16384,coarse,Standard,1000
1,2,Cray-MPICH-CXI-GPU-Enabled,0.227052,1.56566,tuolumne,16384,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering2,1.39189,20.6985,tuolumne,61440,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering2,1.37831,20.661,tuolumne,61440,coarse,Standard,1000
1,2,Cray-MPICH-CXI-GPU-Enabled,1.20289,20.836,tuolumne,61440,coarse,Standard,1000
1,4,MPIAdvance-CXI-Double-Buffering2,0.413184,0.816028,tuolumne,16384,coarse,Ready Send,1000
1,4,MPIAdvance-CXI-Single-Buffering2,0.467012,0.817008,tuolumne,16384,coarse,Standard,1000
1,4,Cray-MPICH-CXI-GPU-Enabled,0.198404,1.07766,tuolumne,16384,coarse,Standard,1000
1,4,MPIAdvance-CXI-Double-Buffering2,1.11404,10.5676,tuolumne,61440,coarse,Ready Send,1000
1,4,MPIAdvance-CXI-Single-Buffering2,0.888819,10.5434,tuolumne,61440,coarse,Standard,1000
1,4,Cray-MPICH-CXI-GPU-Enabled,0.77611,10.6728,tuolumne,61440,coarse,Standard,1000
2,1,MPIAdvance-CXI-Double-Buffering2,0.299121,1.53888,tuolumne,16384,coarse,Ready Send,1000
2,1,MPIAdvance-CXI-Single-Buffering2,0.190865,1.54196,tuolumne,16384,coarse,Standard,1000
