nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
1,1,MPIAdvance-CXI-Double-Buffering2,0.0476004,6.37664,frontier,16384,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Double-Buffering2,0.0162358,6.3247,frontier,16384,fine,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering2,0.0194455,6.50013,frontier,16384,fine,Standard,1000
1,1,MPIAdvance-CXI-Single-Buffering2,0.0201754,6.55083,frontier,16384,coarse,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,0.00404618,6.18191,frontier,16384,coarse,Standard,1000
1,1,MPIAdvance-CXI-Double-Buffering2,0.0199047,87.8815,frontier,61440,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Double-Buffering2,1.35897,87.8418,frontier,61440,fine,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering2,0.6695,88.0253,frontier,61440,fine,Standard,1000
1,1,MPIAdvance-CXI-Single-Buffering2,1.60595,88.2486,frontier,61440,coarse,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,1.55263,88.26,frontier,61440,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering2,0.0296545,3.01029,frontier,16384,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Double-Buffering2,0.0245386,3.01475,frontier,16384,fine,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering2,0.0283224,3.01712,frontier,16384,fine,Standard,1000
1,2,MPIAdvance-CXI-Single-Buffering2,0.028179,3.01205,frontier,16384,coarse,Standard,1000
1,2,Cray-MPICH-CXI-GPU-Enabled,0.00391662,3.07881,frontier,16384,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering2,0.0324533,42.6825,frontier,61440,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Double-Buffering2,0.0331574,42.6878,frontier,61440,fine,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering2,0.0409439,42.7732,frontier,61440,fine,Standard,1000
1,2,MPIAdvance-CXI-Single-Buffering2,0.0369888,42.7515,frontier,61440,coarse,Standard,1000
1,2,Cray-MPICH-CXI-GPU-Enabled,0.0115108,42.8591,frontier,61440,coarse,Standard,1000
1,4,MPIAdvance-CXI-Double-Buffering2,0.0440826,1.58956,frontier,16384,coarse,Ready Send,1000
1,4,MPIAdvance-CXI-Double-Buffering2,0.0402874,1.59395,frontier,16384,fine,Ready Send,1000
1,4,MPIAdvance-CXI-Single-Buffering2,0.0451362,1.59731,frontier,16384,fine,Standard,1000
1,4,MPIAdvance-CXI-Single-Buffering2,0.0455347,1.59338,frontier,16384,coarse,Standard,1000
1,4,Cray-MPICH-CXI-GPU-Enabled,0.00672815,1.60911,frontier,16384,coarse,Standard,1000
1,4,MPIAdvance-CXI-Double-Buffering2,0.0456593,21.76,frontier,61440,coarse,Ready Send,1000
1,4,MPIAdvance-CXI-Double-Buffering2,0.0429436,21.8053,frontier,61440,fine,Ready Send,1000
1,4,MPIAdvance-CXI-Single-Buffering2,0.0457365,21.865,frontier,61440,fine,Standard,1000
1,4,MPIAdvance-CXI-Single-Buffering2,0.0467379,21.8282,frontier,61440,coarse,Standard,1000
1,4,Cray-MPICH-CXI-GPU-Enabled,0.00945741,21.6264,frontier,61440,coarse,Standard,1000
1,8,MPIAdvance-CXI-Double-Buffering2,0.0730341,0.864415,frontier,16384,coarse,Ready Send,1000
1,8,MPIAdvance-CXI-Double-Buffering2,0.0800171,0.86739,frontier,16384,fine,Ready Send,1000
1,8,MPIAdvance-CXI-Single-Buffering2,0.0854765,0.872444,frontier,16384,fine,Standard,1000
1,8,MPIAdvance-CXI-Single-Buffering2,0.0864633,0.867499,frontier,16384,coarse,Standard,1000
1,8,Cray-MPICH-CXI-GPU-Enabled,0.0144175,0.895367,frontier,16384,coarse,Standard,1000
1,8,MPIAdvance-CXI-Double-Buffering2,0.0801847,10.8326,frontier,61440,coarse,Ready Send,1000
1,8,MPIAdvance-CXI-Double-Buffering2,0.0768012,10.8271,frontier,61440,fine,Ready Send,1000
1,8,MPIAdvance-CXI-Single-Buffering2,0.0871953,10.9542,frontier,61440,fine,Standard,1000
1,8,MPIAdvance-CXI-Single-Buffering2,0.0899072,10.9422,frontier,61440,coarse,Standard,1000
1,8,Cray-MPICH-CXI-GPU-Enabled,0.009339,10.8231,frontier,61440,coarse,Standard,1000
2,1,MPIAdvance-CXI-Double-Buffering2,0.0261333,2.9978,frontier,16384,coarse,Ready Send,1000
2,1,MPIAdvance-CXI-Double-Buffering2,0.0131652,3.00008,frontier,16384,fine,Ready Send,1000
2,1,MPIAdvance-CXI-Single-Buffering2,0.0184612,3.00374,frontier,16384,fine,Standard,1000
2,1,MPIAdvance-CXI-Single-Buffering2,0.018345,3.00124,frontier,16384,coarse,Standard,1000
2,1,Cray-MPICH-CXI-GPU-Enabled,0.00689174,3.06133,frontier,16384,coarse,Standard,1000
2,1,MPIAdvance-CXI-Double-Buffering2,0.0175426,42.5715,frontier,61440,coarse,Ready Send,1000
2,1,MPIAdvance-CXI-Double-Buffering2,0.0159246,42.5735,frontier,61440,fine,Ready Send,1000
2,1,MPIAdvance-CXI-Single-Buffering2,0.0247285,42.8629,frontier,61440,fine,Standard,1000
2,1,MPIAdvance-CXI-Single-Buffering2,0.0280055,42.8764,frontier,61440,coarse,Standard,1000
2,1,Cray-MPICH-CXI-GPU-Enabled,0.0153324,43.0168,frontier,61440,coarse,Standard,1000
2,2,MPIAdvance-CXI-Double-Buffering2,0.0180324,1.58658,frontier,16384,coarse,Ready Send,1000
2,2,MPIAdvance-CXI-Double-Buffering2,0.017461,1.59132,frontier,16384,fine,Ready Send,1000
2,2,MPIAdvance-CXI-Single-Buffering2,0.0190721,1.594,frontier,16384,fine,Standard,1000
2,2,MPIAdvance-CXI-Single-Buffering2,0.0191564,1.58974,frontier,16384,coarse,Standard,1000
2,2,Cray-MPICH-CXI-GPU-Enabled,0.00435609,1.60709,frontier,16384,coarse,Standard,1000
2,2,MPIAdvance-CXI-Double-Buffering2,0.0188463,21.6494,frontier,61440,coarse,Ready Send,1000
2,2,MPIAdvance-CXI-Double-Buffering2,0.0186396,21.7086,frontier,61440,fine,Ready Send,1000
2,2,MPIAdvance-CXI-Single-Buffering2,0.0196708,21.6824,frontier,61440,fine,Standard,1000
2,2,MPIAdvance-CXI-Single-Buffering2,0.020769,21.6851,frontier,61440,coarse,Standard,1000
2,2,Cray-MPICH-CXI-GPU-Enabled,0.00909048,21.5303,frontier,61440,coarse,Standard,1000
2,4,MPIAdvance-CXI-Double-Buffering2,0.0212516,0.864243,frontier,16384,coarse,Ready Send,1000
2,4,MPIAdvance-CXI-Double-Buffering2,0.0184799,0.868413,frontier,16384,fine,Ready Send,1000
2,4,MPIAdvance-CXI-Single-Buffering2,0.0217088,0.872067,frontier,16384,fine,Standard,1000
2,4,MPIAdvance-CXI-Single-Buffering2,0.0257178,0.867,frontier,16384,coarse,Standard,1000
2,4,Cray-MPICH-CXI-GPU-Enabled,0.00541561,0.887219,frontier,16384,coarse,Standard,1000
2,4,MPIAdvance-CXI-Double-Buffering2,0.0210614,10.6908,frontier,61440,coarse,Ready Send,1000
2,4,MPIAdvance-CXI-Double-Buffering2,0.0210084,10.6957,frontier,61440,fine,Ready Send,1000
2,4,MPIAdvance-CXI-Single-Buffering2,0.0252174,10.8516,frontier,61440,fine,Standard,1000
2,4,MPIAdvance-CXI-Single-Buffering2,0.0256197,10.8467,frontier,61440,coarse,Standard,1000
2,4,Cray-MPICH-CXI-GPU-Enabled,0.00873264,10.6439,frontier,61440,coarse,Standard,1000
2,8,MPIAdvance-CXI-Double-Buffering2,0.0336464,0.504144,frontier,16384,coarse,Ready Send,1000
2,8,MPIAdvance-CXI-Double-Buffering2,0.0300437,0.509015,frontier,16384,fine,Ready Send,1000
2,8,MPIAdvance-CXI-Single-Buffering2,0.0331339,0.515754,frontier,16384,fine,Standard,1000
2,8,MPIAdvance-CXI-Single-Buffering2,0.0305144,0.511253,frontier,16384,coarse,Standard,1000
2,8,Cray-MPICH-CXI-GPU-Enabled,0.011058,0.533943,frontier,16384,coarse,Standard,1000
2,8,MPIAdvance-CXI-Double-Buffering2,0.0314194,5.50812,frontier,61440,coarse,Ready Send,1000
2,8,MPIAdvance-CXI-Double-Buffering2,0.031601,5.49957,frontier,61440,fine,Ready Send,1000
2,8,MPIAdvance-CXI-Single-Buffering2,0.0367446,5.6217,frontier,61440,fine,Standard,1000
2,8,MPIAdvance-CXI-Single-Buffering2,0.0361177,5.62918,frontier,61440,coarse,Standard,1000
2,8,Cray-MPICH-CXI-GPU-Enabled,0.0115627,5.60356,frontier,61440,coarse,Standard,1000
4,1,MPIAdvance-CXI-Double-Buffering2,0.0416121,1.59035,frontier,16384,coarse,Ready Send,1000
4,1,MPIAdvance-CXI-Double-Buffering2,0.0145518,1.59246,frontier,16384,fine,Ready Send,1000
4,1,MPIAdvance-CXI-Single-Buffering2,0.0165038,1.59964,frontier,16384,fine,Standard,1000
4,1,MPIAdvance-CXI-Single-Buffering2,0.0187629,1.59718,frontier,16384,coarse,Standard,1000
4,1,Cray-MPICH-CXI-GPU-Enabled,0.00462809,1.60497,frontier,16384,coarse,Standard,1000
4,1,MPIAdvance-CXI-Double-Buffering2,0.0157242,21.7778,frontier,61440,coarse,Ready Send,1000
4,1,MPIAdvance-CXI-Double-Buffering2,0.0162142,21.7801,frontier,61440,fine,Ready Send,1000
4,1,MPIAdvance-CXI-Single-Buffering2,0.018498,21.9258,frontier,61440,fine,Standard,1000
4,1,MPIAdvance-CXI-Single-Buffering2,0.0252128,21.9158,frontier,61440,coarse,Standard,1000
4,1,Cray-MPICH-CXI-GPU-Enabled,0.00573187,21.8298,frontier,61440,coarse,Standard,1000
4,2,MPIAdvance-CXI-Double-Buffering2,0.0284332,0.865965,frontier,16384,coarse,Ready Send,1000
4,2,MPIAdvance-CXI-Double-Buffering2,0.0162268,0.869749,frontier,16384,fine,Ready Send,1000
4,2,MPIAdvance-CXI-Single-Buffering2,0.0203264,0.874342,frontier,16384,fine,Standard,1000
4,2,MPIAdvance-CXI-Single-Buffering2,0.0200674,0.869503,frontier,16384,coarse,Standard,1000
4,2,Cray-MPICH-CXI-GPU-Enabled,0.00460557,0.881421,frontier,16384,coarse,Standard,1000
4,2,MPIAdvance-CXI-Double-Buffering2,0.0190009,10.7734,frontier,61440,coarse,Ready Send,1000
4,2,MPIAdvance-CXI-Double-Buffering2,0.0172516,10.7853,frontier,61440,fine,Ready Send,1000
4,2,MPIAdvance-CXI-Single-Buffering2,0.0212245,10.8697,frontier,61440,fine,Standard,1000
4,2,MPIAdvance-CXI-Single-Buffering2,0.0227898,10.878,frontier,61440,coarse,Standard,1000
4,2,Cray-MPICH-CXI-GPU-Enabled,0.00811878,10.7105,frontier,61440,coarse,Standard,1000
4,4,MPIAdvance-CXI-Double-Buffering2,0.0230909,0.505657,frontier,16384,coarse,Ready Send,1000
4,4,MPIAdvance-CXI-Double-Buffering2,0.0171667,0.510247,frontier,16384,fine,Ready Send,1000
4,4,MPIAdvance-CXI-Single-Buffering2,0.0253742,0.517326,frontier,16384,fine,Standard,1000
4,4,MPIAdvance-CXI-Single-Buffering2,0.025229,0.512026,frontier,16384,coarse,Standard,1000
4,4,Cray-MPICH-CXI-GPU-Enabled,0.00912301,0.532546,frontier,16384,coarse,Standard,1000
4,4,MPIAdvance-CXI-Double-Buffering2,0.0214415,5.59024,frontier,61440,coarse,Ready Send,1000
4,4,MPIAdvance-CXI-Double-Buffering2,0.0203982,5.60186,frontier,61440,fine,Ready Send,1000
4,4,MPIAdvance-CXI-Single-Buffering2,0.0252735,5.69723,frontier,61440,fine,Standard,1000
4,4,MPIAdvance-CXI-Single-Buffering2,0.0240453,5.68512,frontier,61440,coarse,Standard,1000
4,4,Cray-MPICH-CXI-GPU-Enabled,0.011203,5.56188,frontier,61440,coarse,Standard,1000
4,8,MPIAdvance-CXI-Double-Buffering2,0.0339779,0.312762,frontier,16384,coarse,Ready Send,1000
4,8,MPIAdvance-CXI-Double-Buffering2,0.0307331,0.318743,frontier,16384,fine,Ready Send,1000
4,8,MPIAdvance-CXI-Single-Buffering2,0.032919,0.329613,frontier,16384,fine,Standard,1000
4,8,MPIAdvance-CXI-Single-Buffering2,0.0297722,0.322615,frontier,16384,coarse,Standard,1000
4,8,Cray-MPICH-CXI-GPU-Enabled,0.0086876,0.347453,frontier,16384,coarse,Standard,1000
4,8,MPIAdvance-CXI-Double-Buffering2,0.0268968,2.68263,frontier,61440,coarse,Ready Send,1000
4,8,MPIAdvance-CXI-Double-Buffering2,0.0280208,2.68793,frontier,61440,fine,Ready Send,1000
4,8,MPIAdvance-CXI-Single-Buffering2,0.0359324,2.69023,frontier,61440,fine,Standard,1000
4,8,MPIAdvance-CXI-Single-Buffering2,0.0373174,2.68636,frontier,61440,coarse,Standard,1000
4,8,Cray-MPICH-CXI-GPU-Enabled,0.0132015,2.6949,frontier,61440,coarse,Standard,1000
8,1,MPIAdvance-CXI-Double-Buffering2,0.0535251,0.859031,frontier,16384,coarse,Ready Send,1000
8,1,MPIAdvance-CXI-Double-Buffering2,0.014181,0.863488,frontier,16384,fine,Ready Send,1000
8,1,MPIAdvance-CXI-Single-Buffering2,0.0197585,0.873643,frontier,16384,fine,Standard,1000
8,1,MPIAdvance-CXI-Single-Buffering2,0.0195244,0.868477,frontier,16384,coarse,Standard,1000
8,1,Cray-MPICH-CXI-GPU-Enabled,0.0032264,0.873577,frontier,16384,coarse,Standard,1000
8,1,MPIAdvance-CXI-Double-Buffering2,0.0177414,10.9238,frontier,61440,coarse,Ready Send,1000
8,1,MPIAdvance-CXI-Double-Buffering2,0.0207275,10.9174,frontier,61440,fine,Ready Send,1000
8,1,MPIAdvance-CXI-Single-Buffering2,0.0228185,11.0633,frontier,61440,fine,Standard,1000
8,1,MPIAdvance-CXI-Single-Buffering2,0.0196581,11.0613,frontier,61440,coarse,Standard,1000
8,1,Cray-MPICH-CXI-GPU-Enabled,0.00557829,10.9087,frontier,61440,coarse,Standard,1000
8,2,MPIAdvance-CXI-Double-Buffering2,0.0173138,0.504797,frontier,16384,coarse,Ready Send,1000
8,2,MPIAdvance-CXI-Double-Buffering2,0.0195607,0.509972,frontier,16384,fine,Ready Send,1000
8,2,MPIAdvance-CXI-Single-Buffering2,0.0221744,0.516102,frontier,16384,fine,Standard,1000
8,2,MPIAdvance-CXI-Single-Buffering2,0.0202603,0.510308,frontier,16384,coarse,Standard,1000
8,2,Cray-MPICH-CXI-GPU-Enabled,0.00359899,0.523985,frontier,16384,coarse,Standard,1000
8,2,MPIAdvance-CXI-Double-Buffering2,0.0205588,5.58199,frontier,61440,coarse,Ready Send,1000
8,2,MPIAdvance-CXI-Double-Buffering2,0.0189297,5.59415,frontier,61440,fine,Ready Send,1000
8,2,MPIAdvance-CXI-Single-Buffering2,0.0206081,5.63777,frontier,61440,fine,Standard,1000
8,2,MPIAdvance-CXI-Single-Buffering2,0.0211968,5.60554,frontier,61440,coarse,Standard,1000
8,2,Cray-MPICH-CXI-GPU-Enabled,0.00533014,5.52774,frontier,61440,coarse,Standard,1000
8,4,MPIAdvance-CXI-Double-Buffering2,0.0207648,0.313452,frontier,16384,coarse,Ready Send,1000
8,4,MPIAdvance-CXI-Double-Buffering2,0.0236271,0.319122,frontier,16384,fine,Ready Send,1000
8,4,MPIAdvance-CXI-Single-Buffering2,0.0262834,0.329294,frontier,16384,fine,Standard,1000
8,4,MPIAdvance-CXI-Single-Buffering2,0.0245644,0.322361,frontier,16384,coarse,Standard,1000
8,4,Cray-MPICH-CXI-GPU-Enabled,0.00815123,0.340739,frontier,16384,coarse,Standard,1000
8,4,MPIAdvance-CXI-Double-Buffering2,0.0191586,2.67711,frontier,61440,coarse,Ready Send,1000
8,4,MPIAdvance-CXI-Double-Buffering2,0.0176405,2.68035,frontier,61440,fine,Ready Send,1000
8,4,MPIAdvance-CXI-Single-Buffering2,0.0241326,2.68269,frontier,61440,fine,Standard,1000
8,4,MPIAdvance-CXI-Single-Buffering2,0.0225259,2.67868,frontier,61440,coarse,Standard,1000
8,4,Cray-MPICH-CXI-GPU-Enabled,0.00852278,2.68694,frontier,61440,coarse,Standard,1000
8,8,MPIAdvance-CXI-Double-Buffering2,0.0353425,0.222042,frontier,16384,coarse,Ready Send,1000
8,8,MPIAdvance-CXI-Double-Buffering2,0.0371834,0.22669,frontier,16384,fine,Ready Send,1000
8,8,MPIAdvance-CXI-Single-Buffering2,0.0264781,0.23731,frontier,16384,fine,Standard,1000
8,8,MPIAdvance-CXI-Single-Buffering2,0.0329724,0.233023,frontier,16384,coarse,Standard,1000
8,8,Cray-MPICH-CXI-GPU-Enabled,0.0156862,0.253413,frontier,16384,coarse,Standard,1000
8,8,MPIAdvance-CXI-Double-Buffering2,0.0263463,1.42597,frontier,61440,coarse,Ready Send,1000
8,8,MPIAdvance-CXI-Double-Buffering2,0.023333,1.42677,frontier,61440,fine,Ready Send,1000
8,8,MPIAdvance-CXI-Single-Buffering2,0.0356997,1.43001,frontier,61440,fine,Standard,1000
8,8,MPIAdvance-CXI-Single-Buffering2,0.0294018,1.42886,frontier,61440,coarse,Standard,1000
8,8,Cray-MPICH-CXI-GPU-Enabled,0.0128845,1.45496,frontier,61440,coarse,Standard,1000
16,1,MPIAdvance-CXI-Double-Buffering2,0.0345851,0.502006,frontier,16384,coarse,Ready Send,1000
16,1,MPIAdvance-CXI-Double-Buffering2,0.0135954,0.507286,frontier,16384,fine,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering2,0.0167821,0.518742,frontier,16384,fine,Standard,1000
16,1,MPIAdvance-CXI-Single-Buffering2,0.0173276,0.514124,frontier,16384,coarse,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.00380381,0.518985,frontier,16384,coarse,Standard,1000
16,1,MPIAdvance-CXI-Double-Buffering2,0.0153499,5.5122,frontier,61440,coarse,Ready Send,1000
16,1,MPIAdvance-CXI-Double-Buffering2,0.0155193,5.50292,frontier,61440,fine,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering2,0.0183869,5.70855,frontier,61440,fine,Standard,1000
16,1,MPIAdvance-CXI-Single-Buffering2,0.0186528,5.71116,frontier,61440,coarse,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.00439139,5.63817,frontier,61440,coarse,Standard,1000
16,2,MPIAdvance-CXI-Double-Buffering2,0.0193083,0.31349,frontier,16384,coarse,Ready Send,1000
16,2,MPIAdvance-CXI-Double-Buffering2,0.0169894,0.319403,frontier,16384,fine,Ready Send,1000
16,2,MPIAdvance-CXI-Single-Buffering2,0.0190806,0.329355,frontier,16384,fine,Standard,1000
