GPU,Backend,Buffering,Iters,Items,Time
MI300,cxi-coarse,sb,100000,8,1.99913
MI300,cxi-coarse,db,100000,8,1.62673
MI300,cxi-fine,sb,100000,8,2.10462
MI300,cxi-fine,db,100000,8,3.51893
MI300,mpi,sb,100000,8,3.87704
MI300,mpi,db,100000,8,4.11872
MI300,cxi-coarse,sb,100000,16,5.21662
MI300,cxi-coarse,db,100000,16,1.65231
MI300,cxi-fine,sb,100000,16,5.09524
MI300,cxi-fine,db,100000,16,1.71314
MI300,mpi,sb,100000,16,3.75917
MI300,mpi,db,100000,16,3.79663
MI300,cxi-coarse,sb,100000,32,2.07014
MI300,cxi-coarse,db,100000,32,1.64305
MI300,cxi-fine,sb,100000,32,2.05765
MI300,cxi-fine,db,100000,32,1.66081
MI300,mpi,sb,100000,32,4.00743
MI300,mpi,db,100000,32,3.40306
MI300,cxi-coarse,sb,100000,64,2.08546
MI300,cxi-coarse,db,100000,64,1.6935
MI300,cxi-fine,sb,100000,64,2.12593
MI300,cxi-fine,db,100000,64,2.92677
MI300,mpi,sb,100000,64,4.42398
MI300,mpi,db,100000,64,4.49338
MI300,cxi-coarse,sb,100000,128,2.24702
MI300,cxi-coarse,db,100000,128,1.74946
MI300,cxi-fine,sb,100000,128,2.21407
MI300,cxi-fine,db,100000,128,2.4665
MI300,mpi,sb,100000,128,4.25495
MI300,mpi,db,100000,128,4.73146
MI300,cxi-coarse,sb,100000,256,2.2609
MI300,cxi-coarse,db,100000,256,1.82803
MI300,cxi-fine,sb,100000,256,2.3822
MI300,cxi-fine,db,100000,256,1.79841
MI300,mpi,sb,100000,256,4.34607
MI300,mpi,db,100000,256,4.20173
MI300,cxi-coarse,sb,100000,512,2.29904
MI300,cxi-coarse,db,100000,512,1.84413
MI300,cxi-fine,sb,100000,512,2.37788
MI300,cxi-fine,db,100000,512,1.74679
MI300,mpi,sb,100000,512,4.04178
MI300,mpi,db,100000,512,3.62982
MI300,cxi-coarse,sb,100000,1024,5.24985
MI300,cxi-coarse,db,100000,1024,1.76236
MI300,cxi-fine,sb,100000,1024,5.11104
MI300,cxi-fine,db,100000,1024,1.76026
MI300,mpi,sb,100000,1024,4.04202
MI300,mpi,db,100000,1024,4.20132
MI300,cxi-coarse,sb,100000,2048,5.22887
MI300,cxi-coarse,db,100000,2048,1.92078
MI300,cxi-fine,sb,100000,2048,5.15512
MI300,cxi-fine,db,100000,2048,1.91913
MI300,mpi,sb,100000,2048,3.6793
MI300,mpi,db,100000,2048,4.08884
MI300,cxi-coarse,sb,100000,4096,1.9877
MI300,cxi-coarse,db,100000,4096,2.00836
MI300,cxi-fine,sb,100000,4096,2.12652
MI300,cxi-fine,db,100000,4096,2.00536
MI300,mpi,sb,100000,4096,4.15025
MI300,mpi,db,100000,4096,4.14197
MI300,cxi-coarse,sb,100000,8192,2.15062
MI300,cxi-coarse,db,100000,8192,2.15353
MI300,cxi-fine,sb,100000,8192,2.22215
MI300,cxi-fine,db,100000,8192,2.19114
MI300,mpi,sb,100000,8192,5.22003
MI300,mpi,db,100000,8192,5.0694
MI300,cxi-coarse,sb,100000,16384,2.4312
MI300,cxi-coarse,db,100000,16384,2.46563
MI300,cxi-fine,sb,100000,16384,2.45087
MI300,cxi-fine,db,100000,16384,2.59192
MI300,mpi,sb,100000,16384,5.58178
MI300,mpi,db,100000,16384,5.60321
