nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
128,1,MPIAdvance-CXI-Double-Buffering,0.373002,0.277287,tuolumne,16384,coarse,Ready Send,1000
128,1,MPIAdvance-CXI-Single-Buffering,0.206992,0.216211,tuolumne,16384,coarse,Standard,1000
128,1,Cray-MPICH-CXI-GPU-Enabled,0.116915,0.15278,tuolumne,16384,coarse,Standard,1000
128,2,MPIAdvance-CXI-Double-Buffering,0.335795,0.229366,tuolumne,16384,coarse,Ready Send,1000
128,2,MPIAdvance-CXI-Single-Buffering,0.260568,0.204893,tuolumne,16384,coarse,Standard,1000
128,2,Cray-MPICH-CXI-GPU-Enabled,0.117555,0.17792,tuolumne,16384,coarse,Standard,1000
128,4,MPIAdvance-CXI-Double-Buffering,0.444199,0.140478,tuolumne,16384,coarse,Ready Send,1000
128,4,MPIAdvance-CXI-Single-Buffering,0.304637,0.207747,tuolumne,16384,coarse,Standard,1000
128,4,Cray-MPICH-CXI-GPU-Enabled,0.233641,0.319539,tuolumne,16384,coarse,Standard,1000
128,1,MPIAdvance-CXI-Double-Buffering,0.396762,0.845134,tuolumne,90112,coarse,Ready Send,1000
128,1,MPIAdvance-CXI-Single-Buffering,0.224066,0.86749,tuolumne,90112,coarse,Standard,1000
128,1,Cray-MPICH-CXI-GPU-Enabled,0.203202,0.874707,tuolumne,90112,coarse,Standard,1000
128,2,MPIAdvance-CXI-Double-Buffering,0.216747,0.503733,tuolumne,90112,coarse,Ready Send,1000
128,2,MPIAdvance-CXI-Single-Buffering,0.236891,0.532082,tuolumne,90112,coarse,Standard,1000
128,2,Cray-MPICH-CXI-GPU-Enabled,0.181931,0.536233,tuolumne,90112,coarse,Standard,1000
128,4,MPIAdvance-CXI-Double-Buffering,0.312854,0.293792,tuolumne,90112,coarse,Ready Send,1000
128,4,MPIAdvance-CXI-Single-Buffering,0.291831,0.402407,tuolumne,90112,coarse,Standard,1000
128,4,Cray-MPICH-CXI-GPU-Enabled,0.253084,0.410464,tuolumne,90112,coarse,Standard,1000
128,1,MPIAdvance-CXI-Double-Buffering,0.209532,0.154033,tuolumne,16384,finegrain,Ready Send,1000
128,1,MPIAdvance-CXI-Single-Buffering,0.169173,0.220457,tuolumne,16384,finegrain,Standard,1000
128,1,Cray-MPICH-CXI-GPU-Enabled,0.127828,0.275385,tuolumne,16384,finegrain,Standard,1000
128,2,MPIAdvance-CXI-Double-Buffering,0.224107,0.142388,tuolumne,16384,finegrain,Ready Send,1000
128,2,MPIAdvance-CXI-Single-Buffering,0.232118,0.20109,tuolumne,16384,finegrain,Standard,1000
128,2,Cray-MPICH-CXI-GPU-Enabled,0.146678,0.165379,tuolumne,16384,finegrain,Standard,1000
128,4,MPIAdvance-CXI-Double-Buffering,0.3031,0.14246,tuolumne,16384,finegrain,Ready Send,1000
128,4,MPIAdvance-CXI-Single-Buffering,0.304951,0.206699,tuolumne,16384,finegrain,Standard,1000
128,4,Cray-MPICH-CXI-GPU-Enabled,0.241178,0.193653,tuolumne,16384,finegrain,Standard,1000
128,1,MPIAdvance-CXI-Double-Buffering,0.265673,0.843758,tuolumne,90112,finegrain,Ready Send,1000
128,1,MPIAdvance-CXI-Single-Buffering,0.211008,0.867746,tuolumne,90112,finegrain,Standard,1000
128,1,Cray-MPICH-CXI-GPU-Enabled,0.216523,0.866956,tuolumne,90112,finegrain,Standard,1000
128,2,MPIAdvance-CXI-Double-Buffering,0.18728,0.503145,tuolumne,90112,finegrain,Ready Send,1000
128,2,MPIAdvance-CXI-Single-Buffering,0.223506,0.53379,tuolumne,90112,finegrain,Standard,1000
128,2,Cray-MPICH-CXI-GPU-Enabled,0.214372,0.536187,tuolumne,90112,finegrain,Standard,1000
128,4,MPIAdvance-CXI-Double-Buffering,0.254964,0.291602,tuolumne,90112,finegrain,Ready Send,1000
128,4,MPIAdvance-CXI-Single-Buffering,0.267785,0.312027,tuolumne,90112,finegrain,Standard,1000
128,4,Cray-MPICH-CXI-GPU-Enabled,0.206345,0.37389,tuolumne,90112,finegrain,Standard,1000
128,1,MPIAdvance-CXI-Double-Buffering,0.403194,0.293978,tuolumne,16384,coarse,Ready Send,1000
128,1,MPIAdvance-CXI-Single-Buffering,0.187157,0.219364,tuolumne,16384,coarse,Standard,1000
128,1,Cray-MPICH-CXI-GPU-Enabled,0.144238,0.139084,tuolumne,16384,coarse,Standard,1000
128,2,MPIAdvance-CXI-Double-Buffering,0.345761,0.232185,tuolumne,16384,coarse,Ready Send,1000
128,2,MPIAdvance-CXI-Single-Buffering,0.196316,0.344112,tuolumne,16384,coarse,Standard,1000
128,2,Cray-MPICH-CXI-GPU-Enabled,0.129184,0.168904,tuolumne,16384,coarse,Standard,1000
128,4,MPIAdvance-CXI-Double-Buffering,0.329239,0.142117,tuolumne,16384,coarse,Ready Send,1000
128,4,MPIAdvance-CXI-Single-Buffering,0.270043,0.206695,tuolumne,16384,coarse,Standard,1000
128,4,Cray-MPICH-CXI-GPU-Enabled,0.174516,0.282585,tuolumne,16384,coarse,Standard,1000
128,1,MPIAdvance-CXI-Double-Buffering,0.286395,0.842675,tuolumne,90112,coarse,Ready Send,1000
128,1,MPIAdvance-CXI-Single-Buffering,0.215361,0.868869,tuolumne,90112,coarse,Standard,1000
128,1,Cray-MPICH-CXI-GPU-Enabled,0.181077,0.864053,tuolumne,90112,coarse,Standard,1000
128,2,MPIAdvance-CXI-Double-Buffering,0.251981,0.505086,tuolumne,90112,coarse,Ready Send,1000
128,2,MPIAdvance-CXI-Single-Buffering,0.229968,0.533834,tuolumne,90112,coarse,Standard,1000
128,2,Cray-MPICH-CXI-GPU-Enabled,0.128806,0.53769,tuolumne,90112,coarse,Standard,1000
128,4,MPIAdvance-CXI-Double-Buffering,0.27925,0.291663,tuolumne,90112,coarse,Ready Send,1000
128,4,MPIAdvance-CXI-Single-Buffering,0.259976,0.31239,tuolumne,90112,coarse,Standard,1000
128,4,Cray-MPICH-CXI-GPU-Enabled,0.22095,0.389333,tuolumne,90112,coarse,Standard,1000
128,1,MPIAdvance-CXI-Double-Buffering,0.15993,0.154442,tuolumne,16384,finegrain,Ready Send,1000
128,1,MPIAdvance-CXI-Single-Buffering,0.154713,0.223122,tuolumne,16384,finegrain,Standard,1000
128,1,Cray-MPICH-CXI-GPU-Enabled,0.109355,0.302638,tuolumne,16384,finegrain,Standard,1000
128,2,MPIAdvance-CXI-Double-Buffering,0.156648,0.21746,tuolumne,16384,finegrain,Ready Send,1000
128,2,MPIAdvance-CXI-Single-Buffering,0.166207,0.342182,tuolumne,16384,finegrain,Standard,1000
128,2,Cray-MPICH-CXI-GPU-Enabled,0.152902,0.180764,tuolumne,16384,finegrain,Standard,1000
128,4,MPIAdvance-CXI-Double-Buffering,0.263624,0.141584,tuolumne,16384,finegrain,Ready Send,1000
128,4,MPIAdvance-CXI-Single-Buffering,0.214437,0.208492,tuolumne,16384,finegrain,Standard,1000
128,4,Cray-MPICH-CXI-GPU-Enabled,0.181107,0.196171,tuolumne,16384,finegrain,Standard,1000
128,1,MPIAdvance-CXI-Double-Buffering,0.272391,0.842665,tuolumne,90112,finegrain,Ready Send,1000
128,1,MPIAdvance-CXI-Single-Buffering,0.267572,0.870595,tuolumne,90112,finegrain,Standard,1000
128,1,Cray-MPICH-CXI-GPU-Enabled,0.173098,0.861749,tuolumne,90112,finegrain,Standard,1000
128,2,MPIAdvance-CXI-Double-Buffering,0.242892,0.504368,tuolumne,90112,finegrain,Ready Send,1000
128,2,MPIAdvance-CXI-Single-Buffering,0.224526,0.533162,tuolumne,90112,finegrain,Standard,1000
128,2,Cray-MPICH-CXI-GPU-Enabled,0.118002,0.534325,tuolumne,90112,finegrain,Standard,1000
128,4,MPIAdvance-CXI-Double-Buffering,0.26943,0.291568,tuolumne,90112,finegrain,Ready Send,1000
128,4,MPIAdvance-CXI-Single-Buffering,0.268835,0.310841,tuolumne,90112,finegrain,Standard,1000
128,4,Cray-MPICH-CXI-GPU-Enabled,0.197302,0.396613,tuolumne,90112,finegrain,Standard,1000
128,1,MPIAdvance-CXI-Double-Buffering,0.376881,0.277828,tuolumne,16384,coarse,Ready Send,1000
128,1,MPIAdvance-CXI-Single-Buffering,0.152299,0.217668,tuolumne,16384,coarse,Standard,1000
128,1,Cray-MPICH-CXI-GPU-Enabled,0.0986888,0.264737,tuolumne,16384,coarse,Standard,1000
128,2,MPIAdvance-CXI-Double-Buffering,0.422527,0.221278,tuolumne,16384,coarse,Ready Send,1000
128,2,MPIAdvance-CXI-Single-Buffering,0.232985,0.32183,tuolumne,16384,coarse,Standard,1000
128,2,Cray-MPICH-CXI-GPU-Enabled,0.0925942,0.169865,tuolumne,16384,coarse,Standard,1000
128,4,MPIAdvance-CXI-Double-Buffering,0.371074,0.140779,tuolumne,16384,coarse,Ready Send,1000
128,4,MPIAdvance-CXI-Single-Buffering,0.275796,0.206158,tuolumne,16384,coarse,Standard,1000
128,4,Cray-MPICH-CXI-GPU-Enabled,0.22853,0.27471,tuolumne,16384,coarse,Standard,1000
128,1,MPIAdvance-CXI-Double-Buffering,0.256138,0.845669,tuolumne,90112,coarse,Ready Send,1000
128,1,MPIAdvance-CXI-Single-Buffering,0.248644,0.871123,tuolumne,90112,coarse,Standard,1000
128,1,Cray-MPICH-CXI-GPU-Enabled,0.172142,0.9243,tuolumne,90112,coarse,Standard,1000
128,2,MPIAdvance-CXI-Double-Buffering,0.211453,0.506356,tuolumne,90112,coarse,Ready Send,1000
128,2,MPIAdvance-CXI-Single-Buffering,0.254214,0.535072,tuolumne,90112,coarse,Standard,1000
128,2,Cray-MPICH-CXI-GPU-Enabled,0.191051,0.539059,tuolumne,90112,coarse,Standard,1000
128,4,MPIAdvance-CXI-Double-Buffering,0.291411,0.291909,tuolumne,90112,coarse,Ready Send,1000
128,4,MPIAdvance-CXI-Single-Buffering,0.251553,0.311759,tuolumne,90112,coarse,Standard,1000
128,4,Cray-MPICH-CXI-GPU-Enabled,0.208568,0.390461,tuolumne,90112,coarse,Standard,1000
128,1,MPIAdvance-CXI-Double-Buffering,0.173035,0.26715,tuolumne,16384,finegrain,Ready Send,1000
128,1,MPIAdvance-CXI-Single-Buffering,0.1515,0.221694,tuolumne,16384,finegrain,Standard,1000
128,1,Cray-MPICH-CXI-GPU-Enabled,0.138419,0.229309,tuolumne,16384,finegrain,Standard,1000
128,2,MPIAdvance-CXI-Double-Buffering,0.205099,0.22132,tuolumne,16384,finegrain,Ready Send,1000
128,2,MPIAdvance-CXI-Single-Buffering,0.207961,0.342939,tuolumne,16384,finegrain,Standard,1000
128,2,Cray-MPICH-CXI-GPU-Enabled,0.180052,0.179239,tuolumne,16384,finegrain,Standard,1000
128,4,MPIAdvance-CXI-Double-Buffering,0.285772,0.141945,tuolumne,16384,finegrain,Ready Send,1000
128,4,MPIAdvance-CXI-Single-Buffering,0.2367,0.204469,tuolumne,16384,finegrain,Standard,1000
128,4,Cray-MPICH-CXI-GPU-Enabled,0.216183,0.197173,tuolumne,16384,finegrain,Standard,1000
128,1,MPIAdvance-CXI-Double-Buffering,0.24534,0.844551,tuolumne,90112,finegrain,Ready Send,1000
