nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
256,1,MPIAdvance-CXI-Double-Buffering2,0.663425,0.503157,tuolumne,88320,coarse,Ready Send,1000
256,1,MPIAdvance-CXI-Single-Buffering2,0.491627,0.510996,tuolumne,88320,coarse,Standard,1000
256,1,Cray-MPICH-CXI-GPU-Enabled,0.32608,0.559041,tuolumne,88320,coarse,Standard,1000
256,1,MPIAdvance-CXI-Double-Buffering2,0.406443,0.269905,tuolumne,16384,coarse,Ready Send,1000
256,1,MPIAdvance-CXI-Single-Buffering2,0.447106,0.3707,tuolumne,16384,coarse,Standard,1000
256,1,Cray-MPICH-CXI-GPU-Enabled,0.376778,0.265966,tuolumne,16384,coarse,Standard,1000
256,2,MPIAdvance-CXI-Double-Buffering2,0.776517,0.277944,tuolumne,88320,coarse,Ready Send,1000
256,2,MPIAdvance-CXI-Single-Buffering2,0.662689,0.306518,tuolumne,88320,coarse,Standard,1000
256,2,Cray-MPICH-CXI-GPU-Enabled,0.503448,0.32048,tuolumne,88320,coarse,Standard,1000
256,2,MPIAdvance-CXI-Double-Buffering2,0.702501,0.23562,tuolumne,16384,coarse,Ready Send,1000
256,2,MPIAdvance-CXI-Single-Buffering2,0.61191,0.298952,tuolumne,16384,coarse,Standard,1000
256,2,Cray-MPICH-CXI-GPU-Enabled,0.52564,0.173217,tuolumne,16384,coarse,Standard,1000
256,4,MPIAdvance-CXI-Double-Buffering2,0.850962,0.176923,tuolumne,88320,coarse,Ready Send,1000
256,4,MPIAdvance-CXI-Single-Buffering2,0.910614,0.189254,tuolumne,88320,coarse,Standard,1000
256,4,Cray-MPICH-CXI-GPU-Enabled,0.673039,0.445845,tuolumne,88320,coarse,Standard,1000
256,4,MPIAdvance-CXI-Double-Buffering2,0.65239,0.144692,tuolumne,16384,coarse,Ready Send,1000
256,4,MPIAdvance-CXI-Single-Buffering2,0.596895,0.180114,tuolumne,16384,coarse,Standard,1000
256,4,Cray-MPICH-CXI-GPU-Enabled,0.547549,0.128122,tuolumne,16384,coarse,Standard,1000
512,1,MPIAdvance-CXI-Double-Buffering2,0.469388,0.307561,tuolumne,88320,coarse,Ready Send,1000
512,1,MPIAdvance-CXI-Single-Buffering2,0.353373,0.367549,tuolumne,88320,coarse,Standard,1000
512,1,Cray-MPICH-CXI-GPU-Enabled,0.168366,0.333764,tuolumne,88320,coarse,Standard,1000
512,1,MPIAdvance-CXI-Double-Buffering2,0.423386,0.288671,tuolumne,16384,coarse,Ready Send,1000
512,1,MPIAdvance-CXI-Single-Buffering2,0.432047,0.306609,tuolumne,16384,coarse,Standard,1000
512,1,Cray-MPICH-CXI-GPU-Enabled,0.31084,0.188846,tuolumne,16384,coarse,Standard,1000
512,2,MPIAdvance-CXI-Double-Buffering2,0.610535,0.239495,tuolumne,88320,coarse,Ready Send,1000
512,2,MPIAdvance-CXI-Single-Buffering2,0.586709,0.291118,tuolumne,88320,coarse,Standard,1000
512,2,Cray-MPICH-CXI-GPU-Enabled,0.449481,0.232738,tuolumne,88320,coarse,Standard,1000
512,2,MPIAdvance-CXI-Double-Buffering2,0.459852,0.236975,tuolumne,16384,coarse,Ready Send,1000
512,2,MPIAdvance-CXI-Single-Buffering2,0.443915,0.283554,tuolumne,16384,coarse,Standard,1000
512,2,Cray-MPICH-CXI-GPU-Enabled,0.399167,0.169559,tuolumne,16384,coarse,Standard,1000
512,4,MPIAdvance-CXI-Double-Buffering2,1.08076,0.145394,tuolumne,88320,coarse,Ready Send,1000
512,4,MPIAdvance-CXI-Single-Buffering2,0.954994,0.179079,tuolumne,88320,coarse,Standard,1000
512,4,Cray-MPICH-CXI-GPU-Enabled,0.730887,0.429452,tuolumne,88320,coarse,Standard,1000
512,4,MPIAdvance-CXI-Double-Buffering2,0.741691,0.140251,tuolumne,16384,coarse,Ready Send,1000
512,4,MPIAdvance-CXI-Single-Buffering2,0.686976,0.176996,tuolumne,16384,coarse,Standard,1000
512,4,Cray-MPICH-CXI-GPU-Enabled,0.661851,0.121401,tuolumne,16384,coarse,Standard,1000
1024,1,MPIAdvance-CXI-Double-Buffering2,0.565708,0.31513,tuolumne,88320,coarse,Ready Send,1000
1024,1,MPIAdvance-CXI-Single-Buffering2,0.413677,0.371805,tuolumne,88320,coarse,Standard,1000
1024,1,Cray-MPICH-CXI-GPU-Enabled,0.315947,0.261548,tuolumne,88320,coarse,Standard,1000
1024,1,MPIAdvance-CXI-Double-Buffering2,0.303221,0.30635,tuolumne,16384,coarse,Ready Send,1000
1024,1,MPIAdvance-CXI-Single-Buffering2,0.321476,0.372585,tuolumne,16384,coarse,Standard,1000
1024,1,Cray-MPICH-CXI-GPU-Enabled,0.272148,0.210179,tuolumne,16384,coarse,Standard,1000
1024,2,MPIAdvance-CXI-Double-Buffering2,0.737241,0.237853,tuolumne,88320,coarse,Ready Send,1000
1024,2,MPIAdvance-CXI-Single-Buffering2,0.565422,0.30826,tuolumne,88320,coarse,Standard,1000
1024,2,Cray-MPICH-CXI-GPU-Enabled,0.480053,0.200709,tuolumne,88320,coarse,Standard,1000
1024,2,MPIAdvance-CXI-Double-Buffering2,0.557856,0.232298,tuolumne,16384,coarse,Ready Send,1000
1024,2,MPIAdvance-CXI-Single-Buffering2,0.487303,0.294125,tuolumne,16384,coarse,Standard,1000
1024,2,Cray-MPICH-CXI-GPU-Enabled,0.443753,0.171801,tuolumne,16384,coarse,Standard,1000
1024,4,MPIAdvance-CXI-Double-Buffering2,0.831099,0.141663,tuolumne,88320,coarse,Ready Send,1000
1024,4,MPIAdvance-CXI-Single-Buffering2,0.862502,0.178408,tuolumne,88320,coarse,Standard,1000
1024,4,Cray-MPICH-CXI-GPU-Enabled,0.666686,0.409515,tuolumne,88320,coarse,Standard,1000
1024,4,MPIAdvance-CXI-Double-Buffering2,0.599128,0.139766,tuolumne,16384,coarse,Ready Send,1000
1024,4,MPIAdvance-CXI-Single-Buffering2,0.65821,0.176489,tuolumne,16384,coarse,Standard,1000
1024,4,Cray-MPICH-CXI-GPU-Enabled,0.448211,0.125775,tuolumne,16384,coarse,Standard,1000
256,1,MPIAdvance-CXI-Double-Buffering2,0.568739,0.497626,tuolumne,88320,coarse,Ready Send,1000
256,1,MPIAdvance-CXI-Single-Buffering2,0.385642,0.512394,tuolumne,88320,coarse,Standard,1000
256,1,Cray-MPICH-CXI-GPU-Enabled,0.315739,0.548963,tuolumne,88320,coarse,Standard,1000
256,1,MPIAdvance-CXI-Double-Buffering2,0.309774,0.311613,tuolumne,16384,coarse,Ready Send,1000
256,1,MPIAdvance-CXI-Single-Buffering2,0.37197,0.370503,tuolumne,16384,coarse,Standard,1000
256,1,Cray-MPICH-CXI-GPU-Enabled,0.233394,0.229907,tuolumne,16384,coarse,Standard,1000
256,2,MPIAdvance-CXI-Double-Buffering2,0.705544,0.280213,tuolumne,88320,coarse,Ready Send,1000
256,2,MPIAdvance-CXI-Single-Buffering2,0.614814,0.305613,tuolumne,88320,coarse,Standard,1000
256,2,Cray-MPICH-CXI-GPU-Enabled,0.512942,0.30904,tuolumne,88320,coarse,Standard,1000
256,2,MPIAdvance-CXI-Double-Buffering2,0.501592,0.236597,tuolumne,16384,coarse,Ready Send,1000
256,2,MPIAdvance-CXI-Single-Buffering2,0.484079,0.283307,tuolumne,16384,coarse,Standard,1000
256,2,Cray-MPICH-CXI-GPU-Enabled,0.320546,0.16901,tuolumne,16384,coarse,Standard,1000
256,4,MPIAdvance-CXI-Double-Buffering2,0.702913,0.176779,tuolumne,88320,coarse,Ready Send,1000
256,4,MPIAdvance-CXI-Single-Buffering2,0.701996,0.190309,tuolumne,88320,coarse,Standard,1000
256,4,Cray-MPICH-CXI-GPU-Enabled,0.631024,0.454026,tuolumne,88320,coarse,Standard,1000
256,4,MPIAdvance-CXI-Double-Buffering2,0.60974,0.144269,tuolumne,16384,coarse,Ready Send,1000
256,4,MPIAdvance-CXI-Single-Buffering2,0.542379,0.179648,tuolumne,16384,coarse,Standard,1000
256,4,Cray-MPICH-CXI-GPU-Enabled,0.515334,0.128414,tuolumne,16384,coarse,Standard,1000
512,1,MPIAdvance-CXI-Double-Buffering2,0.347533,0.319317,tuolumne,88320,coarse,Ready Send,1000
512,1,MPIAdvance-CXI-Single-Buffering2,0.419472,0.359526,tuolumne,88320,coarse,Standard,1000
512,1,Cray-MPICH-CXI-GPU-Enabled,0.348991,0.347612,tuolumne,88320,coarse,Standard,1000
512,1,MPIAdvance-CXI-Double-Buffering2,0.409733,0.296649,tuolumne,16384,coarse,Ready Send,1000
512,1,MPIAdvance-CXI-Single-Buffering2,0.427594,0.370237,tuolumne,16384,coarse,Standard,1000
512,1,Cray-MPICH-CXI-GPU-Enabled,0.313995,0.170472,tuolumne,16384,coarse,Standard,1000
