nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
16,1,MPIAdvance-CXI-Double-Buffering,0.257872,0.308547,tuolumne,16384,coarse,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering,0.239008,0.357317,tuolumne,16384,coarse,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.291164,0.363232,tuolumne,16384,coarse,Standard,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.561464,0.189841,tuolumne,16384,coarse,Ready Send,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.516673,0.197811,tuolumne,16384,coarse,Standard,1000
16,2,Cray-MPICH-CXI-GPU-Enabled,0.465625,0.256647,tuolumne,16384,coarse,Standard,1000
16,4,MPIAdvance-CXI-Double-Buffering,1.04208,0.139617,tuolumne,16384,coarse,Ready Send,1000
16,4,MPIAdvance-CXI-Single-Buffering,0.858896,0.179708,tuolumne,16384,coarse,Standard,1000
16,4,Cray-MPICH-CXI-GPU-Enabled,0.635319,0.420009,tuolumne,16384,coarse,Standard,1000
16,1,MPIAdvance-CXI-Double-Buffering,0.753947,5.58415,tuolumne,88320,coarse,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering,1.06556,5.55143,tuolumne,88320,coarse,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.780002,5.5719,tuolumne,88320,coarse,Standard,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.665755,2.78594,tuolumne,88320,coarse,Ready Send,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.766315,2.78825,tuolumne,88320,coarse,Standard,1000
16,2,Cray-MPICH-CXI-GPU-Enabled,0.506354,2.8013,tuolumne,88320,coarse,Standard,1000
16,4,MPIAdvance-CXI-Double-Buffering,0.948602,1.44613,tuolumne,88320,coarse,Ready Send,1000
16,4,MPIAdvance-CXI-Single-Buffering,0.833477,1.44881,tuolumne,88320,coarse,Standard,1000
16,4,Cray-MPICH-CXI-GPU-Enabled,0.715496,1.65266,tuolumne,88320,coarse,Standard,1000
16,1,MPIAdvance-CXI-Double-Buffering,0.202287,0.30748,tuolumne,16384,finegrain,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering,0.209053,0.37044,tuolumne,16384,finegrain,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.179141,0.328228,tuolumne,16384,finegrain,Standard,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.483134,0.188678,tuolumne,16384,finegrain,Ready Send,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.499899,0.197172,tuolumne,16384,finegrain,Standard,1000
16,2,Cray-MPICH-CXI-GPU-Enabled,0.333263,0.209741,tuolumne,16384,finegrain,Standard,1000
16,4,MPIAdvance-CXI-Double-Buffering,0.845847,0.141494,tuolumne,16384,finegrain,Ready Send,1000
16,4,MPIAdvance-CXI-Single-Buffering,0.858706,0.176281,tuolumne,16384,finegrain,Standard,1000
16,4,Cray-MPICH-CXI-GPU-Enabled,0.614961,0.35323,tuolumne,16384,finegrain,Standard,1000
16,1,MPIAdvance-CXI-Double-Buffering,0.744389,5.55029,tuolumne,88320,finegrain,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering,0.741625,5.54482,tuolumne,88320,finegrain,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.708267,5.55284,tuolumne,88320,finegrain,Standard,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.695851,2.78383,tuolumne,88320,finegrain,Ready Send,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.739827,2.78671,tuolumne,88320,finegrain,Standard,1000
16,2,Cray-MPICH-CXI-GPU-Enabled,0.476758,2.79876,tuolumne,88320,finegrain,Standard,1000
16,4,MPIAdvance-CXI-Double-Buffering,0.905099,1.44301,tuolumne,88320,finegrain,Ready Send,1000
16,4,MPIAdvance-CXI-Single-Buffering,0.849427,1.44629,tuolumne,88320,finegrain,Standard,1000
16,4,Cray-MPICH-CXI-GPU-Enabled,0.698273,1.6474,tuolumne,88320,finegrain,Standard,1000
16,1,MPIAdvance-CXI-Double-Buffering,0.340468,0.303478,tuolumne,16384,coarse,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering,0.24829,0.348747,tuolumne,16384,coarse,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.150152,0.335089,tuolumne,16384,coarse,Standard,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.380204,0.238804,tuolumne,16384,coarse,Ready Send,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.333658,0.197152,tuolumne,16384,coarse,Standard,1000
16,2,Cray-MPICH-CXI-GPU-Enabled,0.301231,0.243233,tuolumne,16384,coarse,Standard,1000
16,4,MPIAdvance-CXI-Double-Buffering,0.702423,0.138437,tuolumne,16384,coarse,Ready Send,1000
16,4,MPIAdvance-CXI-Single-Buffering,0.58842,0.176972,tuolumne,16384,coarse,Standard,1000
16,4,Cray-MPICH-CXI-GPU-Enabled,0.475557,0.394965,tuolumne,16384,coarse,Standard,1000
16,1,MPIAdvance-CXI-Double-Buffering,0.879194,5.52728,tuolumne,88320,coarse,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering,0.772497,5.51421,tuolumne,88320,coarse,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.63321,5.53297,tuolumne,88320,coarse,Standard,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.417924,2.79137,tuolumne,88320,coarse,Ready Send,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.38255,2.79357,tuolumne,88320,coarse,Standard,1000
16,2,Cray-MPICH-CXI-GPU-Enabled,0.373142,2.7958,tuolumne,88320,coarse,Standard,1000
16,4,MPIAdvance-CXI-Double-Buffering,0.656915,1.45592,tuolumne,88320,coarse,Ready Send,1000
16,4,MPIAdvance-CXI-Single-Buffering,0.56323,1.46023,tuolumne,88320,coarse,Standard,1000
16,4,Cray-MPICH-CXI-GPU-Enabled,0.449103,1.64347,tuolumne,88320,coarse,Standard,1000
16,1,MPIAdvance-CXI-Double-Buffering,0.420899,0.304789,tuolumne,16384,finegrain,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering,0.371622,0.364819,tuolumne,16384,finegrain,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.3043,0.321905,tuolumne,16384,finegrain,Standard,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.286509,0.216989,tuolumne,16384,finegrain,Ready Send,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.345077,0.196735,tuolumne,16384,finegrain,Standard,1000
16,2,Cray-MPICH-CXI-GPU-Enabled,0.222538,0.209369,tuolumne,16384,finegrain,Standard,1000
16,4,MPIAdvance-CXI-Double-Buffering,0.54279,0.143252,tuolumne,16384,finegrain,Ready Send,1000
16,4,MPIAdvance-CXI-Single-Buffering,0.525839,0.177629,tuolumne,16384,finegrain,Standard,1000
16,4,Cray-MPICH-CXI-GPU-Enabled,0.390329,0.333149,tuolumne,16384,finegrain,Standard,1000
16,1,MPIAdvance-CXI-Double-Buffering,0.965614,5.51774,tuolumne,88320,finegrain,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering,0.95093,5.50963,tuolumne,88320,finegrain,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.839042,5.51529,tuolumne,88320,finegrain,Standard,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.417739,2.78727,tuolumne,88320,finegrain,Ready Send,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.411005,2.79061,tuolumne,88320,finegrain,Standard,1000
