nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
1,1,MPIAdvance-CXI-Double-Buffering,0.576307,3.05651,tuolumne,16384,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering,0.436303,3.06695,tuolumne,16384,coarse,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,0.204594,3.15055,tuolumne,16384,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering,0.445833,1.56131,tuolumne,16384,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering,0.38679,1.57126,tuolumne,16384,coarse,Standard,1000
1,2,Cray-MPICH-CXI-GPU-Enabled,0.115115,1.58947,tuolumne,16384,coarse,Standard,1000
1,4,MPIAdvance-CXI-Double-Buffering,0.566565,0.854672,tuolumne,16384,coarse,Ready Send,1000
1,4,MPIAdvance-CXI-Single-Buffering,0.348193,0.881191,tuolumne,16384,coarse,Standard,1000
1,4,Cray-MPICH-CXI-GPU-Enabled,0.15232,0.983678,tuolumne,16384,coarse,Standard,1000
1,1,MPIAdvance-CXI-Double-Buffering,12.8307,177.168,tuolumne,92160,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering,11.9944,175.906,tuolumne,92160,coarse,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,11.5718,176.698,tuolumne,92160,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering,2.78146,49.7121,tuolumne,92160,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering,2.66,49.7404,tuolumne,92160,coarse,Standard,1000
1,2,Cray-MPICH-CXI-GPU-Enabled,2.43862,50.1083,tuolumne,92160,coarse,Standard,1000
1,4,MPIAdvance-CXI-Double-Buffering,1.61459,25.1883,tuolumne,92160,coarse,Ready Send,1000
1,4,MPIAdvance-CXI-Single-Buffering,1.58434,25.2157,tuolumne,92160,coarse,Standard,1000
1,4,Cray-MPICH-CXI-GPU-Enabled,1.27789,25.2751,tuolumne,92160,coarse,Standard,1000
1,1,MPIAdvance-CXI-Double-Buffering,0.555989,3.03896,tuolumne,16384,finegrain,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering,0.550312,3.04555,tuolumne,16384,finegrain,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,0.333537,3.07255,tuolumne,16384,finegrain,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering,0.355414,1.5478,tuolumne,16384,finegrain,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering,0.411972,1.55975,tuolumne,16384,finegrain,Standard,1000
