system,nodes,ppn,matrix,rank,messages sent per iteration,messages received per iteration,bytes sent per iteration,bytes received per iteration,total bytes sent,total bytes received
Frontier,1,1,audikw_1,0,0,0,0,0,0,0
Frontier,1,1,Bump_2911,0,0,0,0,0,0,0
Frontier,1,1,Cube_Coup_dt0,0,0,0,0,0,0,0
Frontier,1,1,Flan_1565,0,0,0,0,0,0,0
Frontier,1,1,Queen_4147,0,0,0,0,0,0,0
Frontier,1,1,Serena,0,0,0,0,0,0,0
Frontier,1,1,nd24k,0,0,0,0,0,0,0
Frontier,1,1,ldoor,0,0,0,0,0,0,0
Frontier,1,2,audikw_1,0,1,1,44000,47248,207680000,223010560
Frontier,1,2,audikw_1,1,1,1,47248,44000,223010560,207680000
Frontier,1,2,Bump_2911,0,1,1,255984,256032,6471787488,6473001024
Frontier,1,2,Bump_2911,1,1,1,256032,255984,6473001024,6471787488
Frontier,1,2,Cube_Coup_dt0,0,1,1,188224,187648,77171840,76935680
Frontier,1,2,Cube_Coup_dt0,1,1,1,187648,188224,76935680,77171840
Frontier,1,2,Flan_1565,0,1,1,13128,13128,15215352,15215352
Frontier,1,2,Flan_1565,1,1,1,13128,13128,15215352,15215352
Frontier,1,2,Queen_4147,0,1,1,260880,261024,6880710000,6884508000
Frontier,1,2,Queen_4147,1,1,1,261024,260880,6884508000,6880710000
Frontier,1,2,Serena,0,1,1,140144,139120,520354672,516552560
Frontier,1,2,Serena,1,1,1,139120,140144,516552560,520354672
Frontier,1,2,nd24k,0,1,1,67040,66728,48939200,48711440
Frontier,1,2,nd24k,1,1,1,66728,67040,48711440,48939200
Frontier,1,2,ldoor,0,1,1,14640,14368,134131680,131639616
Frontier,1,2,ldoor,1,1,1,14368,14640,131639616,134131680
Frontier,1,4,audikw_1,0,1,1,37176,39696,178965264,191096544
Frontier,1,4,audikw_1,1,3,3,85496,84424,411577744,406417136
Frontier,1,4,audikw_1,2,2,2,99128,100864,477202192,485559296
Frontier,1,4,audikw_1,3,2,2,93632,90448,450744448,435416672
Frontier,1,4,Bump_2911,0,3,3,271304,271384,6871045104,6873071184
Frontier,1,4,Bump_2911,1,3,3,303952,304616,7697888352,7714704816
Frontier,1,4,Bump_2911,2,3,3,330624,328824,8373383424,8327796624
Frontier,1,4,Bump_2911,3,3,3,321408,322464,8139979008,8166723264
Frontier,1,4,Cube_Coup_dt0,0,3,3,180024,180488,73629816,73819592
Frontier,1,4,Cube_Coup_dt0,1,3,3,208808,207704,85402472,84950936
Frontier,1,4,Cube_Coup_dt0,2,3,3,186168,186056,76142712,76096904
Frontier,1,4,Cube_Coup_dt0,3,3,3,173320,174072,70887880,71195448
Frontier,1,4,Flan_1565,0,1,1,12200,12112,14176400,14074144
Frontier,1,4,Flan_1565,1,2,2,25240,25328,29328880,29431136
Frontier,1,4,Flan_1565,2,1,1,12560,12568,14594720,14604016
Frontier,1,4,Flan_1565,3,2,2,25696,25688,29858752,29849456
Frontier,1,4,Queen_4147,0,2,2,327248,328768,8524810400,8564406400
Frontier,1,4,Queen_4147,1,3,3,364768,363752,9502206400,9475739600
Frontier,1,4,Queen_4147,2,2,2,330152,331432,8600459600,8633803600
Frontier,1,4,Queen_4147,3,3,3,344056,342272,8962658800,8916185600
Frontier,1,4,Serena,0,3,3,157560,156600,587068560,583491600
Frontier,1,4,Serena,1,3,3,137384,136888,511892784,510044688
Frontier,1,4,Serena,2,3,3,152704,151016,568975104,562685616
Frontier,1,4,Serena,3,3,3,124488,127632,463842288,475556832
Frontier,1,4,nd24k,0,3,3,73680,71416,53491680,51848016
Frontier,1,4,nd24k,1,3,3,68600,70880,49803600,51458880
Frontier,1,4,nd24k,2,3,3,68224,68528,49530624,49751328
Frontier,1,4,nd24k,3,3,3,70776,70456,51383376,51151056
Frontier,1,4,ldoor,0,3,3,15688,15224,144486480,140213040
Frontier,1,4,ldoor,1,2,2,11440,11576,105362400,106614960
Frontier,1,4,ldoor,2,3,3,16320,16888,150307200,155538480
Frontier,1,4,ldoor,3,2,2,14120,13880,130045200,127834800
Frontier,1,8,audikw_1,0,2,2,85472,90520,414710144,439203040
Frontier,1,8,audikw_1,1,1,1,50824,48296,246598048,234332192
Frontier,1,8,audikw_1,2,3,3,93448,93128,453409696,451857056
Frontier,1,8,audikw_1,3,2,2,85576,84200,415214752,408538400
Frontier,1,8,audikw_1,4,1,1,49584,48576,240581568,235690752
Frontier,1,8,audikw_1,5,4,4,140344,140840,680949088,683355680
Frontier,1,8,audikw_1,6,3,3,110480,106048,536048960,514544896
Frontier,1,8,audikw_1,7,2,2,83968,88088,407412736,427402976
Frontier,1,8,Bump_2911,0,4,4,180576,178944,4660485984,4618365696
Frontier,1,8,Bump_2911,1,6,6,258848,260608,6680608032,6726031872
Frontier,1,8,Bump_2911,2,6,6,228568,227648,5899111512,5875367232
Frontier,1,8,Bump_2911,3,7,7,303144,304488,7823843496,7858530792
Frontier,1,8,Bump_2911,4,5,5,263472,266424,6799948848,6876137016
Frontier,1,8,Bump_2911,5,6,6,305832,305088,7893218088,7874016192
Frontier,1,8,Bump_2911,6,7,7,241656,241320,6236899704,6228227880
Frontier,1,8,Bump_2911,7,5,5,255120,252696,6584392080,6521831064
Frontier,1,8,Cube_Coup_dt0,0,6,6,248728,247944,101729752,101409096
Frontier,1,8,Cube_Coup_dt0,1,4,4,140352,140928,57403968,57639552
Frontier,1,8,Cube_Coup_dt0,2,4,4,137144,137256,56091896,56137704
Frontier,1,8,Cube_Coup_dt0,3,4,4,240368,241936,98310512,98951824
Frontier,1,8,Cube_Coup_dt0,4,3,3,125216,125088,51213344,51160992
Frontier,1,8,Cube_Coup_dt0,5,6,6,228912,227336,93625008,92980424
Frontier,1,8,Cube_Coup_dt0,6,5,5,159384,160264,65188056,65547976
Frontier,1,8,Cube_Coup_dt0,7,6,6,223064,222416,91233176,90968144
Frontier,1,8,Flan_1565,0,2,2,42856,42776,49670104,49577384
Frontier,1,8,Flan_1565,1,1,1,30664,30656,35539576,35530304
Frontier,1,8,Flan_1565,2,3,3,58792,58880,68139928,68241920
Frontier,1,8,Flan_1565,3,1,1,33552,33552,38886768,38886768
Frontier,1,8,Flan_1565,4,3,3,66112,66320,76623808,76864880
Frontier,1,8,Flan_1565,5,1,1,39400,39392,45664600,45655328
Frontier,1,8,Flan_1565,6,2,2,47344,47144,54871696,54639896
Frontier,1,8,Flan_1565,7,1,1,33552,33552,38886768,38886768
Frontier,1,8,Queen_4147,0,2,2,199008,200664,5357096352,5401674216
Frontier,1,8,Queen_4147,1,4,4,357128,357160,9613528632,9614390040
Frontier,1,8,Queen_4147,2,4,4,339928,339848,9150521832,9148368312
Frontier,1,8,Queen_4147,3,3,3,212112,210528,5709842928,5667203232
Frontier,1,8,Queen_4147,4,4,4,360864,360744,9714098016,9710867736
Frontier,1,8,Queen_4147,5,2,2,214568,216256,5775955992,5821395264
Frontier,1,8,Queen_4147,6,3,3,244576,243296,6583741344,6549285024
Frontier,1,8,Queen_4147,7,4,4,372648,372336,10031311512,10022912784
Frontier,1,8,Serena,0,7,7,168072,164424,623883264,610341888
Frontier,1,8,Serena,1,6,6,108984,110232,404548608,409181184
Frontier,1,8,Serena,2,6,6,126424,126128,469285888,468187136
Frontier,1,8,Serena,3,5,5,101152,102368,375476224,379990016
Frontier,1,8,Serena,4,7,7,112872,111456,418980864,413724672
Frontier,1,8,Serena,5,6,6,159952,160832,593741824,597008384
Frontier,1,8,Serena,6,5,5,100704,101904,373813248,378267648
Frontier,1,8,Serena,7,6,6,152064,152880,564461568,567490560
Frontier,1,8,nd24k,0,7,7,65560,64072,47858800,46772560
Frontier,1,8,nd24k,1,7,7,59920,60024,43741600,43817520
Frontier,1,8,nd24k,2,7,7,62536,65192,45651280,47590160
Frontier,1,8,nd24k,3,7,7,53104,53560,38765920,39098800
Frontier,1,8,nd24k,4,7,7,60232,57576,43969360,42030480
Frontier,1,8,nd24k,5,7,7,62632,63040,45721360,46019200
Frontier,1,8,nd24k,6,7,7,57240,58296,41785200,42556080
Frontier,1,8,nd24k,7,7,7,59440,58904,43391200,42999920
Frontier,1,8,ldoor,0,2,2,11520,11664,106133760,107460432
Frontier,1,8,ldoor,1,6,6,16880,16272,155515440,149913936
Frontier,1,8,ldoor,2,3,3,12296,11952,113283048,110113776
Frontier,1,8,ldoor,3,2,2,11128,11608,102522264,106944504
Frontier,1,8,ldoor,4,4,4,16232,16192,149545416,149176896
Frontier,1,8,ldoor,5,3,3,11624,11728,107091912,108050064
Frontier,1,8,ldoor,6,4,4,13088,13176,120579744,121390488
Frontier,1,8,ldoor,7,2,2,10552,10728,97215576,98837064
Frontier,2,1,audikw_1,0,1,1,44000,47248,207680000,223010560
Frontier,2,1,audikw_1,1,1,1,47248,44000,223010560,207680000
Frontier,2,1,Bump_2911,0,1,1,255984,256032,6471787488,6473001024
Frontier,2,1,Bump_2911,1,1,1,256032,255984,6473001024,6471787488
Frontier,2,1,Cube_Coup_dt0,0,1,1,188224,187648,77171840,76935680
Frontier,2,1,Cube_Coup_dt0,1,1,1,187648,188224,76935680,77171840
Frontier,2,1,Flan_1565,0,1,1,13128,13128,15215352,15215352
Frontier,2,1,Flan_1565,1,1,1,13128,13128,15215352,15215352
Frontier,2,1,Queen_4147,0,1,1,260880,261024,6880710000,6884508000
Frontier,2,1,Queen_4147,1,1,1,261024,260880,6884508000,6880710000
Frontier,2,1,Serena,0,1,1,140144,139120,520354672,516552560
Frontier,2,1,Serena,1,1,1,139120,140144,516552560,520354672
Frontier,2,1,nd24k,0,1,1,67040,66728,48939200,48711440
Frontier,2,1,nd24k,1,1,1,66728,67040,48711440,48939200
Frontier,2,1,ldoor,0,1,1,14640,14368,134131680,131639616
Frontier,2,1,ldoor,1,1,1,14368,14640,131639616,134131680
Frontier,2,2,audikw_1,0,1,1,37176,39696,179560080,191731680
Frontier,2,2,audikw_1,1,3,3,85496,84424,412945680,407767920
Frontier,2,2,audikw_1,2,2,2,99128,100864,478788240,487173120
Frontier,2,2,audikw_1,3,2,2,93632,90448,452242560,436863840
Frontier,2,2,Bump_2911,0,3,3,271304,271384,6820582560,6822593760
Frontier,2,2,Bump_2911,1,3,3,303952,304616,7641353280,7658046240
Frontier,2,2,Bump_2911,2,3,3,330624,328824,8311887360,8266635360
Frontier,2,2,Bump_2911,3,3,3,321408,322464,8080197120,8106744960
Frontier,2,2,Cube_Coup_dt0,0,3,3,180024,180488,73809840,74000080
Frontier,2,2,Cube_Coup_dt0,1,3,3,208808,207704,85611280,85158640
Frontier,2,2,Cube_Coup_dt0,2,3,3,186168,186056,76328880,76282960
Frontier,2,2,Cube_Coup_dt0,3,3,3,173320,174072,71061200,71369520
Frontier,2,2,Flan_1565,0,1,1,12200,12112,14127600,14025696
Frontier,2,2,Flan_1565,1,2,2,25240,25328,29227920,29329824
Frontier,2,2,Flan_1565,2,1,1,12560,12568,14544480,14553744
Frontier,2,2,Flan_1565,3,2,2,25696,25688,29755968,29746704
Frontier,2,2,Queen_4147,0,2,2,327248,328768,8609567632,8649557312
Frontier,2,2,Queen_4147,1,3,3,364768,363752,9596681312,9569951368
Frontier,2,2,Queen_4147,2,2,2,330152,331432,8685968968,8719644488
Frontier,2,2,Queen_4147,3,3,3,344056,342272,9051769304,9004834048
Frontier,2,2,Serena,0,3,3,157560,156600,582972000,579420000
Frontier,2,2,Serena,1,3,3,137384,136888,508320800,506485600
Frontier,2,2,Serena,2,3,3,152704,151016,565004800,558759200
Frontier,2,2,Serena,3,3,3,124488,127632,460605600,472238400
Frontier,2,2,nd24k,0,3,3,73680,71416,53786400,52133680
Frontier,2,2,nd24k,1,3,3,68600,70880,50078000,51742400
Frontier,2,2,nd24k,2,3,3,68224,68528,49803520,50025440
Frontier,2,2,nd24k,3,3,3,70776,70456,51666480,51432880
Frontier,2,2,ldoor,0,3,3,15688,15224,144125656,139862888
