system,nodes,ppn,matrix,backend,solver_time
Frontier,1,1,audikw_1,mpi,5.274782
Frontier,1,1,audikw_1,st,5.281810
Frontier,1,1,Bump_2911,mpi,48.975663
Frontier,1,1,Bump_2911,st,49.042697
Frontier,1,1,Cube_Coup_dt0,mpi,0.654632
Frontier,1,1,Cube_Coup_dt0,st,0.654759
Frontier,1,1,Flan_1565,mpi,1.923664
Frontier,1,1,Flan_1565,st,1.918899
Frontier,1,1,Queen_4147,mpi,117.684593
Frontier,1,1,Queen_4147,st,117.794570
Frontier,1,1,Serena,mpi,3.460313
Frontier,1,1,Serena,st,3.452601
Frontier,1,1,nd24k,mpi,0.250699
Frontier,1,1,nd24k,st,0.250642
Frontier,1,1,ldoor,mpi,6.185458
Frontier,1,1,ldoor,st,6.188935
Frontier,1,2,audikw_1,mpi,2.989319
Frontier,1,2,audikw_1,st,2.912251
Frontier,1,2,Bump_2911,mpi,26.306620
Frontier,1,2,Bump_2911,st,25.963503
Frontier,1,2,Cube_Coup_dt0,mpi,0.363688
Frontier,1,2,Cube_Coup_dt0,st,0.352499
Frontier,1,2,Flan_1565,mpi,1.068804
Frontier,1,2,Flan_1565,st,1.053168
Frontier,1,2,Queen_4147,mpi,63.070478
Frontier,1,2,Queen_4147,st,64.022762
Frontier,1,2,Serena,mpi,2.015691
Frontier,1,2,Serena,st,1.987998
Frontier,1,2,nd24k,mpi,0.192158
Frontier,1,2,nd24k,st,0.183148
Frontier,1,2,ldoor,mpi,3.851279
Frontier,1,2,ldoor,st,3.591323
Frontier,1,4,audikw_1,mpi,1.873431
Frontier,1,4,audikw_1,st,1.825099
Frontier,1,4,Bump_2911,mpi,15.138557
Frontier,1,4,Bump_2911,st,14.606410
Frontier,1,4,Cube_Coup_dt0,mpi,0.207175
Frontier,1,4,Cube_Coup_dt0,st,0.199486
Frontier,1,4,Flan_1565,mpi,0.600049
Frontier,1,4,Flan_1565,st,0.586318
Frontier,1,4,Queen_4147,mpi,33.549655
Frontier,1,4,Queen_4147,st,32.873391
Frontier,1,4,Serena,mpi,1.306155
Frontier,1,4,Serena,st,1.207417
Frontier,1,4,nd24k,mpi,0.148049
Frontier,1,4,nd24k,st,0.142661
Frontier,1,4,ldoor,mpi,2.579680
Frontier,1,4,ldoor,st,2.474091
Frontier,1,8,audikw_1,mpi,1.294398
Frontier,1,8,audikw_1,st,1.305437
Frontier,1,8,Bump_2911,mpi,9.571145
Frontier,1,8,Bump_2911,st,9.470206
Frontier,1,8,Cube_Coup_dt0,mpi,0.142364
Frontier,1,8,Cube_Coup_dt0,st,0.134583
Frontier,1,8,Flan_1565,mpi,0.382996
Frontier,1,8,Flan_1565,st,0.370388
Frontier,1,8,Queen_4147,mpi,18.689853
Frontier,1,8,Queen_4147,st,18.209576
Frontier,1,8,Serena,mpi,0.993564
Frontier,1,8,Serena,st,0.955675
Frontier,1,8,nd24k,mpi,0.140649
Frontier,1,8,nd24k,st,0.142348
