system,nodes,ppn,matrix,rank,messages sent per iteration,messages received per iteration,bytes sent per iteration,bytes received per iteration,total bytes sent,total bytes received
Tuolumne,1,1,audikw_1,0,0,0,0,0,0,0
Tuolumne,1,1,Bump_2911,0,0,0,0,0,0,0
Tuolumne,1,1,Cube_Coup_dt0,0,0,0,0,0,0,0
Tuolumne,1,1,Flan_1565,0,0,0,0,0,0,0
Tuolumne,1,1,Queen_4147,0,0,0,0,0,0,0
Tuolumne,1,1,Serena,0,0,0,0,0,0,0
Tuolumne,1,1,nd24k,0,0,0,0,0,0,0
Tuolumne,1,1,ldoor,0,0,0,0,0,0,0
Tuolumne,1,2,audikw_1,0,1,1,44000,47248,213664000,229436288
Tuolumne,1,2,audikw_1,1,1,1,47248,44000,229436288,213664000
Tuolumne,1,2,Bump_2911,0,1,1,255984,256032,6471787488,6473001024
Tuolumne,1,2,Bump_2911,1,1,1,256032,255984,6473001024,6471787488
Tuolumne,1,2,Cube_Coup_dt0,0,1,1,188224,187648,76983616,76748032
Tuolumne,1,2,Cube_Coup_dt0,1,1,1,187648,188224,76748032,76983616
Tuolumne,1,2,Flan_1565,0,1,1,13128,13128,15215352,15215352
Tuolumne,1,2,Flan_1565,1,1,1,13128,13128,15215352,15215352
Tuolumne,1,2,Queen_4147,0,1,1,260880,261024,6880710000,6884508000
Tuolumne,1,2,Queen_4147,1,1,1,261024,260880,6884508000,6880710000
Tuolumne,1,2,Serena,0,1,1,140144,139120,521615968,517804640
Tuolumne,1,2,Serena,1,1,1,139120,140144,517804640,521615968
Tuolumne,1,2,nd24k,0,1,1,67040,66728,48939200,48711440
Tuolumne,1,2,nd24k,1,1,1,66728,67040,48711440,48939200
Tuolumne,1,2,ldoor,0,1,1,14640,14368,134131680,131639616
Tuolumne,1,2,ldoor,1,1,1,14368,14640,131639616,134131680
Tuolumne,1,4,audikw_1,0,1,1,37176,39696,181009944,193279824
Tuolumne,1,4,audikw_1,1,3,3,85496,84424,416280024,411060456
Tuolumne,1,4,audikw_1,2,2,2,99128,100864,482654232,491106816
Tuolumne,1,4,audikw_1,3,2,2,93632,90448,455894208,440391312
Tuolumne,1,4,Bump_2911,0,3,3,271304,271384,6954064128,6956114688
Tuolumne,1,4,Bump_2911,1,3,3,303952,304616,7790897664,7807917312
Tuolumne,1,4,Bump_2911,2,3,3,330624,328824,8474554368,8428416768
Tuolumne,1,4,Bump_2911,3,3,3,321408,322464,8238329856,8265397248
Tuolumne,1,4,Cube_Coup_dt0,0,3,3,180024,180488,73809840,74000080
Tuolumne,1,4,Cube_Coup_dt0,1,3,3,208808,207704,85611280,85158640
Tuolumne,1,4,Cube_Coup_dt0,2,3,3,186168,186056,76328880,76282960
Tuolumne,1,4,Cube_Coup_dt0,3,3,3,173320,174072,71061200,71369520
Tuolumne,1,4,Flan_1565,0,1,1,12200,12112,14139800,14037808
Tuolumne,1,4,Flan_1565,1,2,2,25240,25328,29253160,29355152
Tuolumne,1,4,Flan_1565,2,1,1,12560,12568,14557040,14566312
Tuolumne,1,4,Flan_1565,3,2,2,25696,25688,29781664,29772392
Tuolumne,1,4,Queen_4147,0,2,2,327248,328768,8547717760,8587420160
Tuolumne,1,4,Queen_4147,1,3,3,364768,363752,9527740160,9501202240
Tuolumne,1,4,Queen_4147,2,2,2,330152,331432,8623570240,8657003840
Tuolumne,1,4,Queen_4147,3,3,3,344056,342272,8986742720,8940144640
Tuolumne,1,4,Serena,0,3,3,157560,156600,587856360,584274600
Tuolumne,1,4,Serena,1,3,3,137384,136888,512579704,510729128
Tuolumne,1,4,Serena,2,3,3,152704,151016,569738624,563440696
Tuolumne,1,4,Serena,3,3,3,124488,127632,464464728,476194992
Tuolumne,1,4,nd24k,0,3,3,73680,71416,53491680,51848016
Tuolumne,1,4,nd24k,1,3,3,68600,70880,49803600,51458880
Tuolumne,1,4,nd24k,2,3,3,68224,68528,49530624,49751328
Tuolumne,1,4,nd24k,3,3,3,70776,70456,51383376,51151056
Tuolumne,1,4,ldoor,0,3,3,15688,15224,144125656,139862888
Tuolumne,1,4,ldoor,1,2,2,11440,11576,105099280,106348712
Tuolumne,1,4,ldoor,2,3,3,16320,16888,149931840,155150056
Tuolumne,1,4,ldoor,3,2,2,14120,13880,129720440,127515560
Tuolumne,2,1,audikw_1,0,1,1,44000,47248,213664000,229436288
Tuolumne,2,1,audikw_1,1,1,1,47248,44000,229436288,213664000
Tuolumne,2,1,Bump_2911,0,1,1,255984,256032,6471787488,6473001024
Tuolumne,2,1,Bump_2911,1,1,1,256032,255984,6473001024,6471787488
Tuolumne,2,1,Cube_Coup_dt0,0,1,1,188224,187648,76983616,76748032
Tuolumne,2,1,Cube_Coup_dt0,1,1,1,187648,188224,76748032,76983616
Tuolumne,2,1,Flan_1565,0,1,1,13128,13128,15215352,15215352
Tuolumne,2,1,Flan_1565,1,1,1,13128,13128,15215352,15215352
Tuolumne,2,1,Queen_4147,0,1,1,260880,261024,6880710000,6884508000
Tuolumne,2,1,Queen_4147,1,1,1,261024,260880,6884508000,6880710000
Tuolumne,2,1,Serena,0,1,1,140144,139120,521615968,517804640
Tuolumne,2,1,Serena,1,1,1,139120,140144,517804640,521615968
Tuolumne,2,1,nd24k,0,1,1,67040,66728,48939200,48711440
Tuolumne,2,1,nd24k,1,1,1,66728,67040,48711440,48939200
Tuolumne,2,1,ldoor,0,1,1,14640,14368,134131680,131639616
Tuolumne,2,1,ldoor,1,1,1,14368,14640,131639616,134131680
Tuolumne,2,2,audikw_1,0,1,1,37176,39696,179485728,191652288
Tuolumne,2,2,audikw_1,1,3,3,85496,84424,412774688,407599072
Tuolumne,2,2,audikw_1,2,2,2,99128,100864,478589984,486971392
Tuolumne,2,2,audikw_1,3,2,2,93632,90448,452055296,436682944
Tuolumne,2,2,Bump_2911,0,3,3,271304,271384,7008596232,7010662872
Tuolumne,2,2,Bump_2911,1,3,3,303952,304616,7851992016,7869145128
Tuolumne,2,2,Bump_2911,2,3,3,330624,328824,8541009792,8494510392
Tuolumne,2,2,Bump_2911,3,3,3,321408,322464,8302932864,8330212512
Tuolumne,2,2,Cube_Coup_dt0,0,3,3,180024,180488,73629816,73819592
Tuolumne,2,2,Cube_Coup_dt0,1,3,3,208808,207704,85402472,84950936
Tuolumne,2,2,Cube_Coup_dt0,2,3,3,186168,186056,76142712,76096904
Tuolumne,2,2,Cube_Coup_dt0,3,3,3,173320,174072,70887880,71195448
Tuolumne,2,2,Flan_1565,0,1,1,12200,12112,14139800,14037808
Tuolumne,2,2,Flan_1565,1,2,2,25240,25328,29253160,29355152
Tuolumne,2,2,Flan_1565,2,1,1,12560,12568,14557040,14566312
Tuolumne,2,2,Flan_1565,3,2,2,25696,25688,29781664,29772392
Tuolumne,2,2,Queen_4147,0,2,2,327248,328768,8712323504,8752790464
Tuolumne,2,2,Queen_4147,1,3,3,364768,363752,9711218464,9684169496
Tuolumne,2,2,Queen_4147,2,2,2,330152,331432,8789636696,8823714136
Tuolumne,2,2,Queen_4147,3,3,3,344056,342272,9159802888,9112307456
Tuolumne,2,2,Serena,0,3,3,157560,156600,587068560,583491600
Tuolumne,2,2,Serena,1,3,3,137384,136888,511892784,510044688
Tuolumne,2,2,Serena,2,3,3,152704,151016,568975104,562685616
Tuolumne,2,2,Serena,3,3,3,124488,127632,463842288,475556832
Tuolumne,2,2,nd24k,0,3,3,73680,71416,53639040,51990848
Tuolumne,2,2,nd24k,1,3,3,68600,70880,49940800,51600640
Tuolumne,2,2,nd24k,2,3,3,68224,68528,49667072,49888384
Tuolumne,2,2,nd24k,3,3,3,70776,70456,51524928,51291968
Tuolumne,2,2,ldoor,0,3,3,15688,15224,143827584,139573632
Tuolumne,2,2,ldoor,1,2,2,11440,11576,104881920,106128768
Tuolumne,2,2,ldoor,2,3,3,16320,16888,149621760,154829184
Tuolumne,2,2,ldoor,3,2,2,14120,13880,129452160,127251840
Tuolumne,2,4,audikw_1,0,2,2,85472,90520,410863904,435129640
Tuolumne,2,4,audikw_1,1,1,1,50824,48296,244310968,232158872
Tuolumne,2,4,audikw_1,2,3,3,93448,93128,449204536,447666296
Tuolumne,2,4,audikw_1,3,2,2,85576,84200,411363832,404749400
Tuolumne,2,4,audikw_1,4,1,1,49584,48576,238350288,233504832
Tuolumne,2,4,audikw_1,5,4,4,140344,140840,674633608,677017880
Tuolumne,2,4,audikw_1,6,3,3,110480,106048,531077360,509772736
Tuolumne,2,4,audikw_1,7,2,2,83968,88088,403634176,423439016
Tuolumne,2,4,Bump_2911,0,4,4,180576,178944,4605049152,4563429888
Tuolumne,2,4,Bump_2911,1,6,6,258848,260608,6601141696,6646025216
Tuolumne,2,4,Bump_2911,2,6,6,228568,227648,5828941136,5805479296
Tuolumne,2,4,Bump_2911,3,7,7,303144,304488,7730778288,7765052976
Tuolumne,2,4,Bump_2911,4,5,5,263472,266424,6719062944,6794344848
Tuolumne,2,4,Bump_2911,5,6,6,305832,305088,7799327664,7780354176
Tuolumne,2,4,Bump_2911,6,7,7,241656,241320,6162711312,6154142640
Tuolumne,2,4,Bump_2911,7,5,5,255120,252696,6506070240,6444253392
Tuolumne,2,4,Cube_Coup_dt0,0,6,6,248728,247944,101729752,101409096
Tuolumne,2,4,Cube_Coup_dt0,1,4,4,140352,140928,57403968,57639552
Tuolumne,2,4,Cube_Coup_dt0,2,4,4,137144,137256,56091896,56137704
Tuolumne,2,4,Cube_Coup_dt0,3,4,4,240368,241936,98310512,98951824
Tuolumne,2,4,Cube_Coup_dt0,4,3,3,125216,125088,51213344,51160992
Tuolumne,2,4,Cube_Coup_dt0,5,6,6,228912,227336,93625008,92980424
Tuolumne,2,4,Cube_Coup_dt0,6,5,5,159384,160264,65188056,65547976
Tuolumne,2,4,Cube_Coup_dt0,7,6,6,223064,222416,91233176,90968144
Tuolumne,2,4,Flan_1565,0,2,2,42856,42776,49627248,49534608
Tuolumne,2,4,Flan_1565,1,1,1,30664,30656,35508912,35499648
Tuolumne,2,4,Flan_1565,2,3,3,58792,58880,68081136,68183040
Tuolumne,2,4,Flan_1565,3,1,1,33552,33552,38853216,38853216
Tuolumne,2,4,Flan_1565,4,3,3,66112,66320,76557696,76798560
Tuolumne,2,4,Flan_1565,5,1,1,39400,39392,45625200,45615936
Tuolumne,2,4,Flan_1565,6,2,2,47344,47144,54824352,54592752
Tuolumne,2,4,Flan_1565,7,1,1,33552,33552,38853216,38853216
Tuolumne,2,4,Queen_4147,0,2,2,199008,200664,5269333824,5313181392
Tuolumne,2,4,Queen_4147,1,4,4,357128,357160,9456035184,9456882480
Tuolumne,2,4,Queen_4147,2,4,4,339928,339848,9000613584,8998495344
Tuolumne,2,4,Queen_4147,3,3,3,212112,210528,5616301536,5574360384
Tuolumne,2,4,Queen_4147,4,4,4,360864,360744,9554956992,9551779632
Tuolumne,2,4,Queen_4147,5,2,2,214568,216256,5681331504,5726026368
Tuolumne,2,4,Queen_4147,6,3,3,244576,243296,6475883328,6441991488
Tuolumne,2,4,Queen_4147,7,4,4,372648,372336,9866973744,9858712608
Tuolumne,2,4,Serena,0,7,7,168072,164424,629429640,615767880
Tuolumne,2,4,Serena,1,6,6,108984,110232,408145080,412818840
Tuolumne,2,4,Serena,2,6,6,126424,126128,473457880,472349360
Tuolumne,2,4,Serena,3,5,5,101152,102368,378814240,383368160
Tuolumne,2,4,Serena,4,7,7,112872,111456,422705640,417402720
Tuolumne,2,4,Serena,5,6,6,159952,160832,599020240,602315840
Tuolumne,2,4,Serena,6,5,5,100704,101904,377136480,381630480
Tuolumne,2,4,Serena,7,6,6,152064,152880,569479680,572535600
Tuolumne,2,4,nd24k,0,7,7,65560,64072,48186600,47092920
Tuolumne,2,4,nd24k,1,7,7,59920,60024,44041200,44117640
Tuolumne,2,4,nd24k,2,7,7,62536,65192,45963960,47916120
Tuolumne,2,4,nd24k,3,7,7,53104,53560,39031440,39366600
Tuolumne,2,4,nd24k,4,7,7,60232,57576,44270520,42318360
Tuolumne,2,4,nd24k,5,7,7,62632,63040,46034520,46334400
Tuolumne,2,4,nd24k,6,7,7,57240,58296,42071400,42847560
Tuolumne,2,4,nd24k,7,7,7,59440,58904,43688400,43294440
Tuolumne,2,4,ldoor,0,2,2,11520,11664,105788160,107110512
Tuolumne,2,4,ldoor,1,6,6,16880,16272,155009040,149425776
Tuolumne,2,4,ldoor,2,3,3,12296,11952,112914168,109755216
Tuolumne,2,4,ldoor,3,2,2,11128,11608,102188424,106596264
Tuolumne,2,4,ldoor,4,4,4,16232,16192,149058456,148691136
Tuolumne,2,4,ldoor,5,3,3,11624,11728,106743192,107698224
Tuolumne,2,4,ldoor,6,4,4,13088,13176,120187104,120995208
Tuolumne,2,4,ldoor,7,2,2,10552,10728,96899016,98515224
Tuolumne,4,1,audikw_1,0,1,1,37176,39696,179485728,191652288
Tuolumne,4,1,audikw_1,1,3,3,85496,84424,412774688,407599072
Tuolumne,4,1,audikw_1,2,2,2,99128,100864,478589984,486971392
Tuolumne,4,1,audikw_1,3,2,2,93632,90448,452055296,436682944
Tuolumne,4,1,Bump_2911,0,3,3,271304,271384,7008596232,7010662872
Tuolumne,4,1,Bump_2911,1,3,3,303952,304616,7851992016,7869145128
Tuolumne,4,1,Bump_2911,2,3,3,330624,328824,8541009792,8494510392
Tuolumne,4,1,Bump_2911,3,3,3,321408,322464,8302932864,8330212512
Tuolumne,4,1,Cube_Coup_dt0,0,3,3,180024,180488,73629816,73819592
Tuolumne,4,1,Cube_Coup_dt0,1,3,3,208808,207704,85402472,84950936
Tuolumne,4,1,Cube_Coup_dt0,2,3,3,186168,186056,76142712,76096904
Tuolumne,4,1,Cube_Coup_dt0,3,3,3,173320,174072,70887880,71195448
Tuolumne,4,1,Flan_1565,0,1,1,12200,12112,14139800,14037808
Tuolumne,4,1,Flan_1565,1,2,2,25240,25328,29253160,29355152
Tuolumne,4,1,Flan_1565,2,1,1,12560,12568,14557040,14566312
Tuolumne,4,1,Flan_1565,3,2,2,25696,25688,29781664,29772392
Tuolumne,4,1,Queen_4147,0,2,2,327248,328768,8712323504,8752790464
Tuolumne,4,1,Queen_4147,1,3,3,364768,363752,9711218464,9684169496
Tuolumne,4,1,Queen_4147,2,2,2,330152,331432,8789636696,8823714136
Tuolumne,4,1,Queen_4147,3,3,3,344056,342272,9159802888,9112307456
Tuolumne,4,1,Serena,0,3,3,157560,156600,587068560,583491600
Tuolumne,4,1,Serena,1,3,3,137384,136888,511892784,510044688
Tuolumne,4,1,Serena,2,3,3,152704,151016,568975104,562685616
Tuolumne,4,1,Serena,3,3,3,124488,127632,463842288,475556832
Tuolumne,4,1,nd24k,0,3,3,73680,71416,53639040,51990848
Tuolumne,4,1,nd24k,1,3,3,68600,70880,49940800,51600640
Tuolumne,4,1,nd24k,2,3,3,68224,68528,49667072,49888384
Tuolumne,4,1,nd24k,3,3,3,70776,70456,51524928,51291968
Tuolumne,4,1,ldoor,0,3,3,15688,15224,143827584,139573632
Tuolumne,4,1,ldoor,1,2,2,11440,11576,104881920,106128768
Tuolumne,4,1,ldoor,2,3,3,16320,16888,149621760,154829184
Tuolumne,4,1,ldoor,3,2,2,14120,13880,129452160,127251840
Tuolumne,4,2,audikw_1,0,2,2,85472,90520,412316928,436668480
Tuolumne,4,2,audikw_1,1,1,1,50824,48296,245174976,232979904
Tuolumne,4,2,audikw_1,2,3,3,93448,93128,450793152,449249472
Tuolumne,4,2,audikw_1,3,2,2,85576,84200,412818624,406180800
Tuolumne,4,2,audikw_1,4,1,1,49584,48576,239193216,234330624
Tuolumne,4,2,audikw_1,5,4,4,140344,140840,677019456,679412160
Tuolumne,4,2,audikw_1,6,3,3,110480,106048,532955520,511575552
Tuolumne,4,2,audikw_1,7,2,2,83968,88088,405061632,424936512
Tuolumne,4,2,Bump_2911,0,4,4,180576,178944,4653262944,4611207936
Tuolumne,4,2,Bump_2911,1,6,6,258848,260608,6670254112,6715607552
Tuolumne,4,2,Bump_2911,2,6,6,228568,227648,5889968792,5866261312
Tuolumne,4,2,Bump_2911,3,7,7,303144,304488,7811717736,7846351272
Tuolumne,4,2,Bump_2911,4,5,5,263472,266424,6789409968,6865480056
Tuolumne,4,2,Bump_2911,5,6,6,305832,305088,7880984808,7861812672
Tuolumne,4,2,Bump_2911,6,7,7,241656,241320,6227233464,6218575080
Tuolumne,4,2,Bump_2911,7,5,5,255120,252696,6574187280,6511723224
Tuolumne,4,2,Cube_Coup_dt0,0,6,6,248728,247944,101729752,101409096
Tuolumne,4,2,Cube_Coup_dt0,1,4,4,140352,140928,57403968,57639552
Tuolumne,4,2,Cube_Coup_dt0,2,4,4,137144,137256,56091896,56137704
Tuolumne,4,2,Cube_Coup_dt0,3,4,4,240368,241936,98310512,98951824
Tuolumne,4,2,Cube_Coup_dt0,4,3,3,125216,125088,51213344,51160992
Tuolumne,4,2,Cube_Coup_dt0,5,6,6,228912,227336,93625008,92980424
Tuolumne,4,2,Cube_Coup_dt0,6,5,5,159384,160264,65188056,65547976
Tuolumne,4,2,Cube_Coup_dt0,7,6,6,223064,222416,91233176,90968144
Tuolumne,4,2,Flan_1565,0,2,2,42856,42776,49670104,49577384
Tuolumne,4,2,Flan_1565,1,1,1,30664,30656,35539576,35530304
Tuolumne,4,2,Flan_1565,2,3,3,58792,58880,68139928,68241920
Tuolumne,4,2,Flan_1565,3,1,1,33552,33552,38886768,38886768
Tuolumne,4,2,Flan_1565,4,3,3,66112,66320,76623808,76864880
Tuolumne,4,2,Flan_1565,5,1,1,39400,39392,45664600,45655328
Tuolumne,4,2,Flan_1565,6,2,2,47344,47144,54871696,54639896
Tuolumne,4,2,Flan_1565,7,1,1,33552,33552,38886768,38886768
Tuolumne,4,2,Queen_4147,0,2,2,199008,200664,5253413184,5297128272
Tuolumne,4,2,Queen_4147,1,4,4,357128,357160,9427464944,9428309680
Tuolumne,4,2,Queen_4147,2,4,4,339928,339848,8973419344,8971307504
Tuolumne,4,2,Queen_4147,3,3,3,212112,210528,5599332576,5557518144
Tuolumne,4,2,Queen_4147,4,4,4,360864,360744,9526087872,9522920112
Tuolumne,4,2,Queen_4147,5,2,2,214568,216256,5664166064,5708725888
Tuolumne,4,2,Queen_4147,6,3,3,244576,243296,6456317248,6422527808
Tuolumne,4,2,Queen_4147,7,4,4,372648,372336,9837161904,9828925728
Tuolumne,4,2,Serena,0,7,7,168072,164424,630774216,617083272
Tuolumne,4,2,Serena,1,6,6,108984,110232,409016952,413700696
Tuolumne,4,2,Serena,2,6,6,126424,126128,474469272,473358384
Tuolumne,4,2,Serena,3,5,5,101152,102368,379623456,384187104
Tuolumne,4,2,Serena,4,7,7,112872,111456,423608616,418294368
Tuolumne,4,2,Serena,5,6,6,159952,160832,600299856,603602496
Tuolumne,4,2,Serena,6,5,5,100704,101904,377942112,382445712
Tuolumne,4,2,Serena,7,6,6,152064,152880,570696192,573758640
Tuolumne,4,2,nd24k,0,7,7,65560,64072,48186600,47092920
Tuolumne,4,2,nd24k,1,7,7,59920,60024,44041200,44117640
Tuolumne,4,2,nd24k,2,7,7,62536,65192,45963960,47916120
Tuolumne,4,2,nd24k,3,7,7,53104,53560,39031440,39366600
Tuolumne,4,2,nd24k,4,7,7,60232,57576,44270520,42318360
Tuolumne,4,2,nd24k,5,7,7,62632,63040,46034520,46334400
