system,nodes,ppn,matrix,backend,solver_time
Tuolumne,1,1,audikw_1,mpi,2.690702
Tuolumne,1,1,audikw_1,rccl,2.741738
Tuolumne,1,1,audikw_1,st,2.688590
Tuolumne,1,1,Bump_2911,mpi,23.251686
Tuolumne,1,1,Bump_2911,rccl,23.417757
Tuolumne,1,1,Bump_2911,st,23.238755
Tuolumne,1,1,Cube_Coup_dt0,mpi,0.318801
Tuolumne,1,1,Cube_Coup_dt0,rccl,0.324537
Tuolumne,1,1,Cube_Coup_dt0,st,0.318528
Tuolumne,1,1,Flan_1565,mpi,0.967290
Tuolumne,1,1,Flan_1565,rccl,0.985917
Tuolumne,1,1,Flan_1565,st,0.963989
Tuolumne,1,1,Queen_4147,mpi,58.863495
Tuolumne,1,1,Queen_4147,rccl,58.731441
Tuolumne,1,1,Queen_4147,st,58.757380
Tuolumne,1,1,Serena,mpi,1.758543
Tuolumne,1,1,Serena,rccl,1.823609
Tuolumne,1,1,Serena,st,1.769914
Tuolumne,1,1,nd24k,mpi,0.138279
Tuolumne,1,1,nd24k,rccl,0.135966
Tuolumne,1,1,nd24k,st,0.133680
Tuolumne,1,1,ldoor,mpi,3.210301
Tuolumne,1,1,ldoor,rccl,3.274148
Tuolumne,1,1,ldoor,st,3.188693
Tuolumne,1,2,audikw_1,mpi,1.947201
Tuolumne,1,2,audikw_1,rccl,1.909918
Tuolumne,1,2,audikw_1,st,1.845404
Tuolumne,1,2,Bump_2911,mpi,13.508570
Tuolumne,1,2,Bump_2911,rccl,13.875295
Tuolumne,1,2,Bump_2911,st,14.124011
Tuolumne,1,2,Cube_Coup_dt0,mpi,0.204867
Tuolumne,1,2,Cube_Coup_dt0,rccl,0.200608
Tuolumne,1,2,Cube_Coup_dt0,st,0.189052
Tuolumne,1,2,Flan_1565,mpi,0.598807
Tuolumne,1,2,Flan_1565,rccl,0.601099
Tuolumne,1,2,Flan_1565,st,0.623149
Tuolumne,1,2,Queen_4147,mpi,31.666872
Tuolumne,1,2,Queen_4147,rccl,31.839806
Tuolumne,1,2,Queen_4147,st,31.625828
Tuolumne,1,2,Serena,mpi,1.319075
Tuolumne,1,2,Serena,rccl,1.296671
Tuolumne,1,2,Serena,st,1.247993
Tuolumne,1,2,nd24k,mpi,0.116770
Tuolumne,1,2,nd24k,rccl,0.139735
Tuolumne,1,2,nd24k,st,0.121175
Tuolumne,1,2,ldoor,mpi,2.374806
Tuolumne,1,2,ldoor,rccl,2.434792
Tuolumne,1,2,ldoor,st,2.284986
Tuolumne,1,4,audikw_1,mpi,1.136462
Tuolumne,1,4,audikw_1,rccl,1.104566
Tuolumne,1,4,audikw_1,st,1.103802
Tuolumne,1,4,Bump_2911,mpi,9.413972
Tuolumne,1,4,Bump_2911,rccl,8.886946
Tuolumne,1,4,Bump_2911,st,9.263649
Tuolumne,1,4,Cube_Coup_dt0,mpi,0.137827
Tuolumne,1,4,Cube_Coup_dt0,rccl,0.135286
Tuolumne,1,4,Cube_Coup_dt0,st,0.139008
Tuolumne,1,4,Flan_1565,mpi,0.394555
Tuolumne,1,4,Flan_1565,rccl,0.386800
Tuolumne,1,4,Flan_1565,st,0.379058
Tuolumne,1,4,Queen_4147,mpi,17.602887
Tuolumne,1,4,Queen_4147,rccl,17.689402
Tuolumne,1,4,Queen_4147,st,17.175530
Tuolumne,1,4,Serena,mpi,0.790248
Tuolumne,1,4,Serena,rccl,0.757889
Tuolumne,1,4,Serena,st,0.772486
Tuolumne,1,4,nd24k,mpi,0.102652
Tuolumne,1,4,nd24k,rccl,0.094284
Tuolumne,1,4,nd24k,st,0.125120
Tuolumne,1,4,ldoor,mpi,1.605315
Tuolumne,1,4,ldoor,rccl,1.530546
Tuolumne,1,4,ldoor,st,1.705014
Tuolumne,2,1,audikw_1,mpi,1.823996
Tuolumne,2,1,audikw_1,rccl,3.564144
Tuolumne,2,1,audikw_1,st,1.843759
