system,nodes,ppn,matrix,backend,solver_time
Tuolumne,1,1,audikw_1,mpi-no-ipc,2.632196
Tuolumne,1,1,Bump_2911,mpi-no-ipc,22.946989
Tuolumne,1,1,Queen_4147,mpi-no-ipc,58.483692
Tuolumne,1,1,Serena,mpi-no-ipc,1.733571
Tuolumne,1,2,audikw_1,mpi-no-ipc,1.874274
Tuolumne,1,2,Bump_2911,mpi-no-ipc,16.221772
Tuolumne,1,2,Queen_4147,mpi-no-ipc,31.599795
Tuolumne,1,2,Serena,mpi-no-ipc,1.486112
Tuolumne,1,4,audikw_1,mpi-no-ipc,1.451272
Tuolumne,1,4,Bump_2911,mpi-no-ipc,20.427869
Tuolumne,1,4,Queen_4147,mpi-no-ipc,21.914439
Tuolumne,1,4,Serena,mpi-no-ipc,1.560901
Tuolumne,2,1,audikw_1,mpi-no-ipc,1.802161
Tuolumne,2,1,Bump_2911,mpi-no-ipc,13.080455
Tuolumne,2,1,Queen_4147,mpi-no-ipc,30.975501
Tuolumne,2,1,Serena,mpi-no-ipc,1.203967
Tuolumne,2,2,audikw_1,mpi-no-ipc,1.365675
Tuolumne,2,2,Bump_2911,mpi-no-ipc,15.923406
Tuolumne,2,2,Queen_4147,mpi-no-ipc,20.573650
Tuolumne,2,2,Serena,mpi-no-ipc,1.138187
Tuolumne,2,4,audikw_1,mpi-no-ipc,1.521208
Tuolumne,2,4,Bump_2911,mpi-no-ipc,15.459228
Tuolumne,2,4,Queen_4147,mpi-no-ipc,17.396464
Tuolumne,2,4,Serena,mpi-no-ipc,1.353933
Tuolumne,4,1,audikw_1,mpi-no-ipc,1.045540
Tuolumne,4,1,Bump_2911,mpi-no-ipc,9.219810
Tuolumne,4,1,Queen_4147,mpi-no-ipc,17.728656
Tuolumne,4,1,Serena,mpi-no-ipc,0.727551
Tuolumne,4,2,audikw_1,mpi-no-ipc,1.259479
Tuolumne,4,2,Bump_2911,mpi-no-ipc,12.746462
Tuolumne,4,2,Queen_4147,mpi-no-ipc,14.628693
Tuolumne,4,2,Serena,mpi-no-ipc,1.135149
Tuolumne,4,4,audikw_1,mpi-no-ipc,1.386792
Tuolumne,4,4,Bump_2911,mpi-no-ipc,10.023015
Tuolumne,4,4,Queen_4147,mpi-no-ipc,14.092389
Tuolumne,4,4,Serena,mpi-no-ipc,1.138490
Tuolumne,8,1,audikw_1,mpi-no-ipc,0.779157
Tuolumne,8,1,Bump_2911,mpi-no-ipc,5.429704
Tuolumne,8,1,Queen_4147,mpi-no-ipc,10.925307
Tuolumne,8,1,Serena,mpi-no-ipc,0.583624
Tuolumne,8,2,audikw_1,mpi-no-ipc,1.205459
Tuolumne,8,2,Bump_2911,mpi-no-ipc,9.802125
Tuolumne,8,2,Queen_4147,mpi-no-ipc,10.690642
Tuolumne,8,2,Serena,mpi-no-ipc,1.024643
Tuolumne,8,4,audikw_1,mpi-no-ipc,1.132115
Tuolumne,8,4,Bump_2911,mpi-no-ipc,7.963341
Tuolumne,8,4,Queen_4147,mpi-no-ipc,10.768662
Tuolumne,8,4,Serena,mpi-no-ipc,0.861916
Tuolumne,16,1,audikw_1,mpi-no-ipc,0.751086
Tuolumne,16,1,Bump_2911,mpi-no-ipc,4.353526
Tuolumne,16,1,Queen_4147,mpi-no-ipc,6.857244
Tuolumne,16,1,Serena,mpi-no-ipc,0.534464
Tuolumne,16,2,audikw_1,mpi-no-ipc,1.026836
Tuolumne,16,2,Bump_2911,mpi-no-ipc,6.928037
Tuolumne,16,2,Queen_4147,mpi-no-ipc,9.217109
Tuolumne,16,2,Serena,mpi-no-ipc,0.819003
Tuolumne,16,4,audikw_1,mpi-no-ipc,1.022551
Tuolumne,16,4,Bump_2911,mpi-no-ipc,6.745776
Tuolumne,16,4,Queen_4147,mpi-no-ipc,7.914628
Tuolumne,16,4,Serena,mpi-no-ipc,0.792359
Tuolumne,1,1,audikw_1,mpi-no-ipc,2.621455
Tuolumne,1,1,Bump_2911,mpi-no-ipc,22.752444
Tuolumne,1,1,Queen_4147,mpi-no-ipc,58.125485
Tuolumne,1,1,Serena,mpi-no-ipc,1.733312
Tuolumne,1,2,audikw_1,mpi-no-ipc,1.841971
Tuolumne,1,2,Bump_2911,mpi-no-ipc,16.174793
Tuolumne,1,2,Queen_4147,mpi-no-ipc,31.347372
Tuolumne,1,2,Serena,mpi-no-ipc,1.496939
Tuolumne,1,4,audikw_1,mpi-no-ipc,1.505836
Tuolumne,1,4,Bump_2911,mpi-no-ipc,20.401265
Tuolumne,1,4,Queen_4147,mpi-no-ipc,22.336489
Tuolumne,1,4,Serena,mpi-no-ipc,1.543827
Tuolumne,2,1,audikw_1,mpi-no-ipc,1.854835
Tuolumne,2,1,Bump_2911,mpi-no-ipc,13.489388
Tuolumne,2,1,Queen_4147,mpi-no-ipc,31.520698
Tuolumne,2,1,Serena,mpi-no-ipc,1.183457
Tuolumne,2,2,audikw_1,mpi-no-ipc,1.347433
Tuolumne,2,2,Bump_2911,mpi-no-ipc,15.183971
Tuolumne,2,2,Queen_4147,mpi-no-ipc,20.894867
Tuolumne,2,2,Serena,mpi-no-ipc,1.133141
Tuolumne,2,4,audikw_1,mpi-no-ipc,1.542016
Tuolumne,2,4,Bump_2911,mpi-no-ipc,15.428985
Tuolumne,2,4,Queen_4147,mpi-no-ipc,17.564010
Tuolumne,2,4,Serena,mpi-no-ipc,1.369260
Tuolumne,4,1,audikw_1,mpi-no-ipc,1.064323
Tuolumne,4,1,Bump_2911,mpi-no-ipc,9.171428
Tuolumne,4,1,Queen_4147,mpi-no-ipc,17.295479
Tuolumne,4,1,Serena,mpi-no-ipc,0.768275
Tuolumne,4,2,audikw_1,mpi-no-ipc,1.252309
Tuolumne,4,2,Bump_2911,mpi-no-ipc,12.651662
Tuolumne,4,2,Queen_4147,mpi-no-ipc,14.515777
Tuolumne,4,2,Serena,mpi-no-ipc,1.146714
Tuolumne,4,4,audikw_1,mpi-no-ipc,1.479314
Tuolumne,4,4,Bump_2911,mpi-no-ipc,9.732775
Tuolumne,4,4,Queen_4147,mpi-no-ipc,13.875465
Tuolumne,4,4,Serena,mpi-no-ipc,1.155020
Tuolumne,8,1,audikw_1,mpi-no-ipc,0.778689
Tuolumne,8,1,Bump_2911,mpi-no-ipc,5.677463
Tuolumne,8,1,Queen_4147,mpi-no-ipc,11.090261
Tuolumne,8,1,Serena,mpi-no-ipc,0.590930
Tuolumne,8,2,audikw_1,mpi-no-ipc,1.216154
Tuolumne,8,2,Bump_2911,mpi-no-ipc,9.899237
Tuolumne,8,2,Queen_4147,mpi-no-ipc,10.744636
Tuolumne,8,2,Serena,mpi-no-ipc,1.029813
Tuolumne,8,4,audikw_1,mpi-no-ipc,1.122260
Tuolumne,8,4,Bump_2911,mpi-no-ipc,7.996722
Tuolumne,8,4,Queen_4147,mpi-no-ipc,11.321707
Tuolumne,8,4,Serena,mpi-no-ipc,0.871695
Tuolumne,16,1,audikw_1,mpi-no-ipc,0.678779
Tuolumne,16,1,Bump_2911,mpi-no-ipc,4.359222
Tuolumne,16,1,Queen_4147,mpi-no-ipc,6.759530
Tuolumne,16,1,Serena,mpi-no-ipc,0.526761
Tuolumne,16,2,audikw_1,mpi-no-ipc,1.026101
Tuolumne,16,2,Bump_2911,mpi-no-ipc,6.936916
Tuolumne,16,2,Queen_4147,mpi-no-ipc,9.258039
Tuolumne,16,2,Serena,mpi-no-ipc,0.832061
Tuolumne,16,4,audikw_1,mpi-no-ipc,1.037350
Tuolumne,16,4,Bump_2911,mpi-no-ipc,6.670911
Tuolumne,16,4,Queen_4147,mpi-no-ipc,7.962273
Tuolumne,16,4,Serena,mpi-no-ipc,0.814824
Tuolumne,1,1,audikw_1,mpi-no-ipc,2.679780
Tuolumne,1,1,Bump_2911,mpi-no-ipc,22.962098
Tuolumne,1,1,Queen_4147,mpi-no-ipc,57.848279
Tuolumne,1,1,Serena,mpi-no-ipc,1.748014
Tuolumne,1,2,audikw_1,mpi-no-ipc,1.990348
Tuolumne,1,2,Bump_2911,mpi-no-ipc,16.444037
Tuolumne,1,2,Queen_4147,mpi-no-ipc,31.359826
Tuolumne,1,2,Serena,mpi-no-ipc,1.528601
Tuolumne,1,4,audikw_1,mpi-no-ipc,1.482759
Tuolumne,1,4,Bump_2911,mpi-no-ipc,20.358773
Tuolumne,1,4,Queen_4147,mpi-no-ipc,22.094838
Tuolumne,1,4,Serena,mpi-no-ipc,1.561253
Tuolumne,2,1,audikw_1,mpi-no-ipc,1.788409
Tuolumne,2,1,Bump_2911,mpi-no-ipc,13.367876
Tuolumne,2,1,Queen_4147,mpi-no-ipc,31.379321
Tuolumne,2,1,Serena,mpi-no-ipc,1.228629
Tuolumne,2,2,audikw_1,mpi-no-ipc,1.375102
Tuolumne,2,2,Bump_2911,mpi-no-ipc,16.391522
Tuolumne,2,2,Queen_4147,mpi-no-ipc,20.730454
Tuolumne,2,2,Serena,mpi-no-ipc,1.143424
Tuolumne,2,4,audikw_1,mpi-no-ipc,1.519477
Tuolumne,2,4,Bump_2911,mpi-no-ipc,15.199235
Tuolumne,2,4,Queen_4147,mpi-no-ipc,17.613285
Tuolumne,2,4,Serena,mpi-no-ipc,1.354134
Tuolumne,4,1,audikw_1,mpi-no-ipc,1.129892
Tuolumne,4,1,Bump_2911,mpi-no-ipc,9.024386
Tuolumne,4,1,Queen_4147,mpi-no-ipc,17.352165
Tuolumne,4,1,Serena,mpi-no-ipc,0.790227
Tuolumne,4,2,audikw_1,mpi-no-ipc,1.248615
Tuolumne,4,2,Bump_2911,mpi-no-ipc,12.647741
Tuolumne,4,2,Queen_4147,mpi-no-ipc,14.689160
Tuolumne,4,2,Serena,mpi-no-ipc,1.122842
Tuolumne,4,4,audikw_1,mpi-no-ipc,1.499493
Tuolumne,4,4,Bump_2911,mpi-no-ipc,10.284917
Tuolumne,4,4,Queen_4147,mpi-no-ipc,14.398779
Tuolumne,4,4,Serena,mpi-no-ipc,1.148508
Tuolumne,8,1,audikw_1,mpi-no-ipc,0.775799
Tuolumne,8,1,Bump_2911,mpi-no-ipc,5.398067
Tuolumne,8,1,Queen_4147,mpi-no-ipc,11.462811
Tuolumne,8,1,Serena,mpi-no-ipc,0.588528
